name,city,state,type,email,phone,website,buy_link,prices,source
Worrell Farms Partnership,Altus,OK,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
K & S Partnership,Hollis,OK,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
J & J Farms,Forgan,OK,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Bill & Karen Dill-joint Venture,Hollis,OK,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Hardzog Farms,Elgin,OK,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Condrey Farms,Lake Providence,LA,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Franklin Farms,Newellton,LA,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Hardwick Planting Co,Newellton,LA,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Four Oaks Farms,Morganza,LA,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Deshotels Farm Management,Lettsworth,LA,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Franklin Partnership,Rayville,LA,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Vandeven Farms,Saint Joseph,LA,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Logan Farms Partnership,Gilliam,LA,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Leake Farms,Newellton,LA,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Hard Bargain Farms Partnership,Epps,LA,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Amd Farms,Hobgood,NC,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Cox Brothers Farms,Monroe,NC,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Howard Farms,Deep Run,NC,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Dunlow And Dunlow,Gaston,NC,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Harrell And Owens Farm,Tarboro,NC,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Lancaster Properties,Stantonsburg,NC,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Walton Farms,Lumber Bridge,NC,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
3 B Farms Partnership,Pinetown,NC,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Farless & Sons,Merry Hill,NC,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Umphlett Brothers,Gates,NC,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Whitehurst Farms Ptns,Conetoe,NC,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
The Williamson Farm,Mount Gilead,NC,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Fulcher Brothers Farm,Ernul,NC,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Stuart Pierce Farms Inc,Ahoskie,NC,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Stephenson Bros,Garysburg,NC,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Rogers Brothers Farm,Hartsville,SC,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Haigler Farms Partnership,Cameron,SC,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Bruce G Price & Sons,Little Rock,SC,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Cotton Lane Farms,Elloree,SC,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Tolson Farms,Lynchburg,SC,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Calhoun Farms,Clio,SC,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Perrow Farms,Cameron,SC,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
W M Smith & Sons,Saint Matthews,SC,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Double D Farms,Gable,SC,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Glasdrum Farms,Little Rock,SC,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Lyons Brothers Farms,Elloree,SC,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Palmetto Farms,Fort Motte,SC,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Betty Allen Farms,Latta,SC,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Mckeowen Farms,Orangeburg,SC,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
L & S Farms,Summerton,SC,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Corrin F Bowers And Son,Luray,SC,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Ted Shuler & Sons,Santee,SC,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Starrh & Starrh Ctn Growers,Shafter,CA,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Fisher Farms,Blythe,CA,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Red River Farms,Blythe,CA,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Bowles Farming Company Inc,Los Banos,CA,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Cloverdale Farms,Hanford,CA,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
A-bar Ag Enterprises,Firebaugh,CA,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
E W Merritt Farms,Porterville,CA,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
C J Ritchie Farms,Visalia,CA,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Gilkey Five,Corcoran,CA,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Hansen Ranches,Corcoran,CA,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
J G Boswell Co,Corcoran,CA,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Ddab Farms,Caruthersville,MO,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Pierce Farms,Caruthersville,MO,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Rone Farm Partnership,Portageville,MO,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Parker & Jones Farms,Senath,MO,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Clearview Farms,Fisk,MO,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Robinson Farms,Dexter,MO,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Priggel Land Partnership,Oran,MO,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Hoggard Farms,Portageville,MO,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Martin Farm,Courtland,AL,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Newby Farms,Athens,AL,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Haney Farms,Athens,AL,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Driskell Cotton Farms,Grand Bay,AL,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Benton Farms,Benton,AL,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Darden Bridgeforth And Sons,Tanner,AL,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Blythe Cotton Company,Town Creek,AL,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Hamilton Farms,Hillsboro,AL,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Wiggins Farm,Andalusia,AL,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Helton Brothers Farm,Atmore,AL,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Lee Farm,Town Creek,AL,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Westover Planting Co,Eufaula,AL,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Vaden Farms,Florence,AL,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
J B Hain Co,Sardis,AL,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Devaney Brothers Farms,Madison,AL,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Home Place Partners,Prattville,AL,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Red Land Farms,Moulton,AL,grower,,,,,Contact for quote,EWG Farm Subsidy Database (USDA cotton payments)
Daniel W. Baxley,Dillon,SC,grower,,,,,Contact for quote,NCC American Cotton Producers
Clinton James Dunn,Itta Bena,MS,grower,,,,,Contact for quote,NCC American Cotton Producers
Gerald A. Rovey,Buckeye,AZ,grower,,,,,Contact for quote,NCC American Cotton Producers
Shane Isbell,Cherokee,AL,grower,,,,,Contact for quote,NCC American Cotton Producers
Nick R. McMichen,Centre,AL,grower,,,,,Contact for quote,NCC American Cotton Producers
Jesse Cooper Flye,Jonesboro,AR,grower,,,,,Contact for quote,NCC American Cotton Producers
Dean Everett Rovey,Buckeye,AZ,grower,,,,,Contact for quote,NCC American Cotton Producers
Dean R. Wells,Casa Grande,AZ,grower,,,,,Contact for quote,NCC American Cotton Producers
Bryan Bone,Bakersfield,CA,grower,,,,,Contact for quote,NCC American Cotton Producers
Nicholas Marshall,Baker,FL,grower,,,,,Contact for quote,NCC American Cotton Producers
Lee Cromley,Brooklet,GA,grower,,,,,Contact for quote,NCC American Cotton Producers
"Bart Davis, Jr.",Doerun,GA,grower,,,,,Contact for quote,NCC American Cotton Producers
Stuart C. Briggeman,Pratt,KS,grower,,,,,Contact for quote,NCC American Cotton Producers
Stephen E. Logan,Gilliam,LA,grower,,,,,Contact for quote,NCC American Cotton Producers
"Russell Y. Ratcliff, III",Saint Joseph,LA,grower,,,,,Contact for quote,NCC American Cotton Producers
Barry B. Bean,Gideon,MO,grower,,,,,Contact for quote,NCC American Cotton Producers
"Ted H. Kendall, IV",Bolton,MS,grower,,,,,Contact for quote,NCC American Cotton Producers
Eric K. Cahoon,Engelhard,NC,grower,,,,,Contact for quote,NCC American Cotton Producers
Chris Sawyer,Greenville,NC,grower,,,,,Contact for quote,NCC American Cotton Producers
Dean Calvani,Carlsbad,NM,grower,,,,,Contact for quote,NCC American Cotton Producers
Philip Ray Bohl,Faxon,OK,grower,,,,,Contact for quote,NCC American Cotton Producers
Mark Nichols,Altus,OK,grower,,,,,Contact for quote,NCC American Cotton Producers
"Cecil Eaddy, Jr.",Manning,SC,grower,,,,,Contact for quote,NCC American Cotton Producers
James H. Johnson,Mayesville,SC,grower,,,,,Contact for quote,NCC American Cotton Producers
Jason R. Luckey,Humboldt,TN,grower,,,,,Contact for quote,NCC American Cotton Producers
William R. Walker,Somerville,TN,grower,,,,,Contact for quote,NCC American Cotton Producers
Brent Coker,Lubbock,TX,grower,,,,,Contact for quote,NCC American Cotton Producers
Stacy W. Smith,Wilson,TX,grower,,,,,Contact for quote,NCC American Cotton Producers
"James W. Jones, Jr.",Windsor,VA,grower,,,,,Contact for quote,NCC American Cotton Producers
Jon R. Whatley,Odem,TX,grower,,,,,Contact for quote,NCC American Cotton Producers
Jason T. Condrey,Lake Providence,LA,grower,,,,,Contact for quote,NCC American Cotton Producers
Madison C. Coley,Vienna,GA,grower,,,,,Contact for quote,NCC American Cotton Producers
James Sutton Page,Avoca,TX,grower,,,,,Contact for quote,NCC American Cotton Producers
Garold Joe Martin,Firebaugh,CA,grower,,,,,Contact for quote,NCC American Cotton Producers
