name,city,state,url,website,buy_link,phone,email,type,notes,products,production,source,source_url,prices
Three Points Fiber Mill,E Hoff RdSunman,IN,https://threepointsfibermill.com,https://threepointsfibermill.com,https://threepointsfibermill.com,812-363-3876,,wool_mill,ASI: Small & midsize mills,Scouring; Carding; Spinning; Yarn; Roving; Batting; Felting; Dyeing,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
C&M Acres Fiber Mill,,IA,http://www.cmacres.com,http://www.cmacres.com,http://www.cmacres.com,515-387-8607,,wool_mill,ASI: Small & midsize mills,Scouring; Carding; Spinning; Yarn; Roving; Batting; Felting; Dyeing,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Twisted Sunset Sisters Fiber Mill,,IA,http://www.twistedsunsetsisters.com/,http://www.twistedsunsetsisters.com/,http://www.twistedsunsetsisters.com/,515-207-2524,,wool_mill,ASI: Small & midsize mills,Scouring; Carding; Spinning; Dyeing; Weaving,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Tallgrass Woolery,,KS,http://www.bartlettyarns.com,http://www.bartlettyarns.com,http://www.bartlettyarns.com,785-289-6636,,wool_mill,ASI: Small & midsize mills,Scouring; Carding; Roving; Batting,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
"Bartlettyarns, Inc",Water StreetHarmony,ME,http://www.bartlettyarns.com,http://www.bartlettyarns.com,http://www.bartlettyarns.com,207-683-2251,,wool_mill,ASI: Small & midsize mills,Scouring; Carding; Spinning; Yarn; Roving; Weaving,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
"Catawampus Farm, LLC",,ME,http://www.catawampusfarm.com,http://www.catawampusfarm.com,http://www.catawampusfarm.com,207-786-2158,,wool_mill,ASI: Small & midsize mills,Scouring; Carding; Yarn; Roving; Batting,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Moorit Hill Farm & Fiber,Detroit RdTroy,ME,http://www.moorithillfarm.com,http://www.moorithillfarm.com,http://www.moorithillfarm.com,207-402-2549,,wool_mill,ASI: Small & midsize mills,Scouring; Carding; Spinning; Yarn,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Underhill Fibers,Wilson RdGorham,ME,http://www.underhillfibers.com,http://www.underhillfibers.com,http://www.underhillfibers.com,207-756-0076,,wool_mill,ASI: Small & midsize mills,Scouring; Carding; Spinning; Yarn; Roving,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Twisted Fiber Spinnery LLC,Gardner,MA,http://www.twistedfiberspinnery.com,http://www.twistedfiberspinnery.com,http://www.twistedfiberspinnery.com,978-939-8949,,wool_mill,ASI: Small & midsize mills,Scouring; Carding; Spinning; Yarn; Roving; Combing,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Frankenmuth Woolen Mill,S. Main StreetFrankenmuth,MI,http://www.wool-bedding.com,http://www.wool-bedding.com,http://www.wool-bedding.com,989-652-6050,,wool_mill,ASI: Small & midsize mills,Scouring; Carding; Roving; Batting,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Grand Alpaca Company Farm & Fiber Mill,W Winston RdMontague,MI,http://www.grandalpaca.com,http://www.grandalpaca.com,http://www.grandalpaca.com,616-784-7765,,wool_mill,ASI: Small & midsize mills,Scouring; Carding; Spinning; Felting,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Hoof-to-Hanger,Lake StreetBridgman,MI,http://www.hooftohanger.com,http://www.hooftohanger.com,http://www.hooftohanger.com,269-465-5936,,wool_mill,ASI: Small & midsize mills,Scouring; Carding; Spinning; Yarn; Roving; Batting; Dyeing,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Get Bentz Farm and Woolen Mill,Northfield BlvdNorthfield,MN,http://www.getbentzfarm.com,http://www.getbentzfarm.com,http://www.getbentzfarm.com,651-271-5142,,wool_mill,ASI: Small & midsize mills,Scouring; Carding; Spinning; Yarn; Roving; Batting; Felting,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Ranch-Al-Paca Fiber Processing,Goodwin AveHastings,MN,http://www.rachalpacafiber.com,http://www.rachalpacafiber.com,http://www.rachalpacafiber.com,651-485-7916,,wool_mill,ASI: Small & midsize mills,Scouring; Carding; Spinning; Yarn; Roving; Weaving,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
"The Fiber Mill, LLC",rd StStromsburg,NE,http://www.thefibermill.com,http://www.thefibermill.com,http://www.thefibermill.com,402-405-1971,,wool_mill,ASI: Small & midsize mills,Scouring; Carding; Spinning; Yarn; Roving; Batting; Felting; Dyeing,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
"Bartlett Fiber Washing, LLC",Barrington,NH,http://www.bartlettyarns.com,http://www.bartlettyarns.com,http://www.bartlettyarns.com,207-683-2251,,wool_mill,ASI: Small & midsize mills,Scouring; Yarn,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
"Sallie’s Fen Fibers, LLC",Swain RoadBarrington,NH,http://www.krpelletco.com,http://www.krpelletco.com,http://www.krpelletco.com,603-664-5237,,wool_mill,ASI: Small & midsize mills,Scouring; Carding; Spinning,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Battenkill Fibers Carding & Spinning Mill,Greenwich,NY,http://www.battenkillfibers.com,http://www.battenkillfibers.com,http://www.battenkillfibers.com,518-692-2700,,wool_mill,ASI: Small & midsize mills,Scouring; Carding; Spinning; Yarn; Roving; Dyeing,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Clean Fleece NY (Hudson Valley Textile Project),Mechanicville,NY,http://www.cleanfleece.com,http://www.cleanfleece.com,http://www.cleanfleece.com,518-400-2209,,wool_mill,ASI: Small & midsize mills,Scouring,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Yarn Factory,Unit FColfax,ND,http://www.yarnfactoryllc.com,http://www.yarnfactoryllc.com,http://www.yarnfactoryllc.com,701-491-9297,,wool_mill,ASI: Small & midsize mills,Scouring; Carding; Spinning; Yarn; Roving; Batting; Dyeing,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Ohio Valley Farm and Fiber Mill,Peebles,OH,http://www.ovffm.com,http://www.ovffm.com,http://www.ovffm.com,937-446-3045,,wool_mill,ASI: Small & midsize mills,Scouring; Carding; Yarn; Roving; Felting; Dyeing; Weaving,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Oklahoma Mini Mill,suite FGuthrie,OK,http://www.oklahomaminimill.com,http://www.oklahomaminimill.com,http://www.oklahomaminimill.com,405-260-2705,,wool_mill,ASI: Small & midsize mills,Scouring; Carding; Yarn; Roving; Felting,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Rodger Family Farm & Fiber Mill LLC,OLD SANTIAM HWYLebanon,OR,http://www.rodgerfamilyfarm.com,http://www.rodgerfamilyfarm.com,http://www.rodgerfamilyfarm.com,541-609-0526,,wool_mill,ASI: Small & midsize mills,Scouring; Carding; Yarn; Roving,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Blue Mountain Farms,Lesentier LnHarrisburg,PA,http://www.bluemountainfarms.net,http://www.bluemountainfarms.net,http://www.bluemountainfarms.net,717-599-7665,,wool_mill,ASI: Small & midsize mills,Scouring; Carding; Spinning; Yarn; Roving; Batting; Felting; Dyeing,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
One Another Fiber Mill,Laura FitzmorrisTobyhanna,PA,http://www.sterlingwoolmill.com,http://www.sterlingwoolmill.com,http://www.sterlingwoolmill.com,570-972-3033,,wool_mill,ASI: Small & midsize mills,Scouring; Carding,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Sterling Wool Mill,Byerland Church RoadWillow Street,PA,http://www.sterlingwoolmill.com,http://www.sterlingwoolmill.com,http://www.sterlingwoolmill.com,717-371-4195,,wool_mill,ASI: Small & midsize mills,Scouring; Carding; Spinning; Yarn; Roving; Batting; Felting; Dyeing,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
"J&E Homestead, LLC",Flat Creek RoadHeath Springs,SC,http://www.je-homestead.com,http://www.je-homestead.com,http://www.je-homestead.com,803-627-7850,,wool_mill,ASI: Small & midsize mills,Scouring; Carding; Spinning; Yarn; Roving; Felting,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Foster Creek Fiber Mill,AveDoland,SD,http://www.fostercreekfibermill.com,http://www.fostercreekfibermill.com,http://www.fostercreekfibermill.com,605-460-2405,,wool_mill,ASI: Small & midsize mills,Scouring; Carding; Spinning; Roving; Batting; Felting,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Maker’s Way Fiber Mill,E Sunset CircleBrandon,SD,http://www.makerswayfibermill.com,http://www.makerswayfibermill.com,http://www.makerswayfibermill.com,605-215-8017,,wool_mill,ASI: Small & midsize mills,Scouring; Carding; Spinning; Yarn; Roving; Felting; Dyeing,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Mesa Trail Alpacas,A SJacks Creek,TN,http://Www.mesatrailalpacas.com,http://Www.mesatrailalpacas.com,http://Www.mesatrailalpacas.com,262-720-4314,,wool_mill,ASI: Small & midsize mills,Scouring; Carding; Spinning; Felting,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Marlin Farms Fiber Mill,,TX,http://www.marlinfarmsfiber.com,http://www.marlinfarmsfiber.com,http://www.marlinfarmsfiber.com,210-422-0619,,wool_mill,ASI: Small & midsize mills,Scouring; Carding; Roving,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Winterstrom Ranch,,TX,http://www.winterstromranch.com,http://www.winterstromranch.com,http://www.winterstromranch.com,209-628-5426,,wool_mill,ASI: Small & midsize mills,Scouring; Carding; Spinning; Yarn; Roving; Batting; Felting; Dyeing,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Wild Red Clover Ranch & Fiber MIll,NorthKoosharem,UT,http://www.wildredclover.com/,http://www.wildredclover.com/,http://www.wildredclover.com/,435-287-4446,,wool_mill,ASI: Small & midsize mills,Scouring; Carding; Spinning; Yarn; Roving; Batting; Felting,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Green Mountain Spinnery,Brickyard LanePutney,VT,http://www.spinnery.com,http://www.spinnery.com,http://www.spinnery.com,800-321-9665,,wool_mill,ASI: Small & midsize mills,Scouring; Carding; Spinning; Yarn; Roving,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Kingdom Fleece and Fiberworks,,VT,http://www.kingdomfleeceandfiberworks.net,http://www.kingdomfleeceandfiberworks.net,http://www.kingdomfleeceandfiberworks.net,802-274-5666,,wool_mill,ASI: Small & midsize mills,Scouring; Carding; Spinning; Yarn; Roving; Batting; Dyeing; Weaving,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Central Virginia Fiber Mill,,VA,http://www.Centralvirginiafibermill.com,http://www.Centralvirginiafibermill.com,http://www.Centralvirginiafibermill.com,434-985-3669,,wool_mill,ASI: Small & midsize mills,Scouring; Carding; Spinning; Roving; Batting; Felting; Dyeing,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
"Shenandoah Fiber Co., LLC",Old Chapel RoadFairfield,VA,http://www.shenandoahfiber.com,http://www.shenandoahfiber.com,http://www.shenandoahfiber.com,703-608-1177,,wool_mill,ASI: Small & midsize mills,Scouring; Carding; Spinning; Yarn; Felting,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Abundant Earth Fiber,Central Ave.Clinton,WA,http://www.AbundantEarthFiber.com,http://www.AbundantEarthFiber.com,http://www.AbundantEarthFiber.com,360-969-2187,,wool_mill,ASI: Small & midsize mills,Scouring; Carding; Spinning; Yarn; Roving,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Dawns Custom Carding,Morris Rd SEYelm,WA,http://www.dawns-custom-carding.com,http://www.dawns-custom-carding.com,http://www.dawns-custom-carding.com,253-208-2474,,wool_mill,ASI: Small & midsize mills,Scouring; Carding; Yarn; Roving; Batting; Felting; Dyeing,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Evergreen Fleece Processing,TH AVE SEWOODINVILLE,WA,http://www.evergreenfleeceprocessing.com,http://www.evergreenfleeceprocessing.com,http://www.evergreenfleeceprocessing.com,425-248-8967,,wool_mill,ASI: Small & midsize mills,Scouring; Carding; Roving; Batting; Felting; Dyeing,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
"Skagit Woolen Works, LLC",Suite bMount Vernon,WA,http://www.skagitwoolen.com,http://www.skagitwoolen.com,http://www.skagitwoolen.com,360-200-8835,,wool_mill,ASI: Small & midsize mills,Scouring; Carding; Yarn; Roving; Batting; Felting; Dyeing,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Olympic Yarn & Fiber,st StreetCosmopolis,WA,http://www.olympicyarnandfiber.com,http://www.olympicyarnandfiber.com,http://www.olympicyarnandfiber.com,360-591-4396,,wool_mill,ASI: Small & midsize mills,Scouring; Carding; Spinning; Yarn; Dyeing,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Soundview Fiber Mill,W Railroad AveShelton,WA,http://www.soundviewfibermill.com,http://www.soundviewfibermill.com,http://www.soundviewfibermill.com,425-214-2425,,wool_mill,ASI: Small & midsize mills,Scouring; Carding; Spinning; Yarn,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Head Spring Fiber Mill,Leetown RdSummit Point,WV,http://www.headspringfibermill.com,http://www.headspringfibermill.com,http://www.headspringfibermill.com,703-999-3363,,wool_mill,ASI: Small & midsize mills,Scouring; Carding; Spinning; Yarn; Roving; Batting; Dyeing,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
"Blackberry Ridge Woolen Mill, LLC",Forshaug RoadMount Horeb,WI,http://www.blackberry-ridge.com,http://www.blackberry-ridge.com,http://www.blackberry-ridge.com,608-437-3762,,wool_mill,ASI: Small & midsize mills,Scouring; Carding; Spinning; Yarn; Roving; Dyeing,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Ewetopia Fiber Mill,West Main StLa Farge,WI,http://www.ewetopiafibershop.com/fiber-mill,http://www.ewetopiafibershop.com/fiber-mill,http://www.ewetopiafibershop.com/fiber-mill,608-625-2060,,wool_mill,ASI: Small & midsize mills,Scouring; Carding; Spinning; Yarn; Roving; Batting; Dyeing,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Mountain Meadow Wool,Plains Dr.Buffalo,WY,http://www.morrofleeceworks.com,http://www.morrofleeceworks.com,http://www.morrofleeceworks.com,307-684-5775,,wool_mill,ASI: Small & midsize mills,Scouring; Carding; Spinning; Yarn; Roving; Dyeing; Combing,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Yampa Valley Fiberworks,Craig,CO,http://www.yampavalleyfiberworks.com,http://www.yampavalleyfiberworks.com,http://www.yampavalleyfiberworks.com,970-824-9568,,wool_mill,ASI: Small & midsize mills,Carding; Spinning; Yarn; Roving,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
R&K’s Mill,TH AVEHedrick,IA,http://www.twistedsunsetsisters.com/,http://www.twistedsunsetsisters.com/,http://www.twistedsunsetsisters.com/,319-560-8924,,wool_mill,ASI: Small & midsize mills,Carding; Spinning; Felting,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Haven Fibers,,UT,http://www.wildredclover.com/,http://www.wildredclover.com/,http://www.wildredclover.com/,(406) 381-3450,,wool_mill,ASI: Small & midsize mills,Carding; Spinning; Felting; Weaving; Combing,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
The Shepherd’s Studio,Third StPhillipsburg,KS,http://www.TheShepherdsStudio.com,http://www.TheShepherdsStudio.com,http://www.TheShepherdsStudio.com,785-543-3128,,wool_mill,ASI: Small & midsize mills,Weaving,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Bedfellows Blankets,Martin RdShelburne Falls,MA,http://www.blanketweave.com,http://www.blanketweave.com,http://www.blanketweave.com,413-625-2730,,wool_mill,ASI: Small & midsize mills,Weaving,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
"New Liberty Wool Pellets, LLC",Robert AndrewsMack,CO,http://www.Newlibertywoolpellets.com,http://www.Newlibertywoolpellets.com,http://www.Newlibertywoolpellets.com,(970) 260-2130,,wool_mill,ASI: Small & midsize mills,Yarn; Roving,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Kestrel Ridge Pellet Company,Megan Landes-MurphyLawrence,NE,http://www.krpelletco.com,http://www.krpelletco.com,http://www.krpelletco.com,(715) 931-8469,,wool_mill,ASI: Small & midsize mills,Small & midsize mills,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Otter Lake Farm & Fiber,Kate PelkeyWeedsport,NY,http://www.bluemountainfarms.net,http://www.bluemountainfarms.net,http://www.bluemountainfarms.net,(315) 480-1940,,wool_mill,ASI: Small & midsize mills,Yarn,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Wild Valley Farms,,UT,http://www.Wildvalleyfarms.com,http://www.Wildvalleyfarms.com,http://www.Wildvalleyfarms.com,435-400-4373,,wool_mill,ASI: Small & midsize mills,Small & midsize mills,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
"Woollets, LLC",Horner LaneArgyle,WI,http://www.Woollets.net,http://www.Woollets.net,http://www.Woollets.net,608-223-3603,,wool_mill,ASI: Small & midsize mills,Small & midsize mills,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Coyote Trail Farm & Fiber Mill,,AK,https://www.coyotetrailfarmandfibermill.com/,https://www.coyotetrailfarmandfibermill.com/,https://www.coyotetrailfarmandfibermill.com/,,,wool_mill,Wool and Fiber Arts: AK,Fiber processing,,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote
"Mendocino Wool and Fiber, Inc.",,CA,https://www.mendowool.com/,https://www.mendowool.com/,https://www.mendowool.com/,,,wool_mill,Wool and Fiber Arts: CA,Wool; Yarn; Roving,,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote
Macedo's Mini Acre,,CA,http://www.macedosminiacres.com/,http://www.macedosminiacres.com/,http://www.macedosminiacres.com/,,,wool_mill,Wool and Fiber Arts: CA,Yarn,,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote
Morro Fleeceworks,,CA,http://www.morrofleeceworks.com/,http://www.morrofleeceworks.com/,http://www.morrofleeceworks.com/,,,wool_mill,Wool and Fiber Arts: CA,Fiber processing,,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote
Fleece Factory of the Rockies,,CO,http://www.thefleecefactoryoftherockies.com/,http://www.thefleecefactoryoftherockies.com/,http://www.thefleecefactoryoftherockies.com/,,,wool_mill,Wool and Fiber Arts: CO,Fiber processing,,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote
Willow Creek Fiber Mill,,CO,http://www.willowcreekfibermill.co/,http://www.willowcreekfibermill.co/,http://www.willowcreekfibermill.co/,,,wool_mill,Wool and Fiber Arts: CO,Fiber processing,,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote
yampa valley fiber mill,,CO,https://www.yampavalleyfiberworks.com/,https://www.yampavalleyfiberworks.com/,https://www.yampavalleyfiberworks.com/,,,wool_mill,Wool and Fiber Arts: CO,Wool; Yarn; Roving,,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote
Six Paca Farm And Mill,,CT,http://www.sixpaca.com/,http://www.sixpaca.com/,http://www.sixpaca.com/,,,wool_mill,Wool and Fiber Arts: CT,Fiber processing,,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote
Twist of Fate Spinnery,,CT,http://www.twistoffatespinnery.biz/,http://www.twistoffatespinnery.biz/,http://www.twistoffatespinnery.biz/,,,wool_mill,Wool and Fiber Arts: CT,Spinning; Felting,,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote
Spirit Fiber Works,,GA,https://www.spiritfiberworks.com/,https://www.spiritfiberworks.com/,https://www.spiritfiberworks.com/,,,wool_mill,Wool and Fiber Arts: GA,Wool; Yarn; Roving,,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote
I Make Yarn,,ID,http://www.imakeyarn.com/,http://www.imakeyarn.com/,http://www.imakeyarn.com/,,,wool_mill,Wool and Fiber Arts: ID,Wool; Yarn; Roving,,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote
Alpaca Pines Llc Farm and Fiber,,IL,http://www.alpacapines.com/,http://www.alpacapines.com/,http://www.alpacapines.com/,,,wool_mill,Wool and Fiber Arts: IL,Wool; Yarn; Roving,,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote
Illinois Wool & Fiber Mill,,IL,https://ilwoolfibermill.com/,https://ilwoolfibermill.com/,https://ilwoolfibermill.com/,,,wool_mill,Wool and Fiber Arts: IL,Wool; Yarn; Roving,,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote
Round Barn Fiber Mill,,IL,https://www.roundbarnfiber.com/,https://www.roundbarnfiber.com/,https://www.roundbarnfiber.com/,,,wool_mill,Wool and Fiber Arts: IL,Yarn; Roving,,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote
Red Hill Fiber Mill,,IN,http://www.redhillfiber.com/,http://www.redhillfiber.com/,http://www.redhillfiber.com/,,,wool_mill,Wool and Fiber Arts: IN,Fiber processing,,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote
Three Points Fiber Mill,,IN,https://threepointsfibermill.com/,https://threepointsfibermill.com/,https://threepointsfibermill.com/,,,wool_mill,Wool and Fiber Arts: IN,Fiber processing,,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote
C&M Acres Fiber Mill & Alpacas,,IA,http://www.cmacres.com/,http://www.cmacres.com/,http://www.cmacres.com/,,,wool_mill,Wool and Fiber Arts: IA,Wool; Yarn,,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote
R & K Fiber Mill,,IA,https://rksalpacafarm.myopenherdwebsite.com/product/30999/randks-alpaca-boutique-and-fiber-mill,https://rksalpacafarm.myopenherdwebsite.com/product/30999/randks-alpaca-boutique-and-fiber-mill,https://rksalpacafarm.myopenherdwebsite.com/product/30999/randks-alpaca-boutique-and-fiber-mill,,,wool_mill,Wool and Fiber Arts: IA,Fiber processing,,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote
"HLA Fiber Mill, LLC",,KS,http://hlafibermill.com/,http://hlafibermill.com/,http://hlafibermill.com/,,,wool_mill,Wool and Fiber Arts: KS,Wool; Yarn; Roving,,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote
Edwards Woolworks Fiber Mill,,KY,https://www.edwardswoolworks.com/,https://www.edwardswoolworks.com/,https://www.edwardswoolworks.com/,,,wool_mill,Wool and Fiber Arts: KY,Wool; Yarn; Roving,,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote
Bartlett Yarns,,ME,https://bartlettyarns.com/,https://bartlettyarns.com/,https://bartlettyarns.com/,,,wool_mill,Wool and Fiber Arts: ME,Wool; Yarn; Roving,,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote
Moorit Hill Farm and Fiber,,ME,http://www.moorithillfarm.com/,http://www.moorithillfarm.com/,http://www.moorithillfarm.com/,,,wool_mill,Wool and Fiber Arts: ME,Fiber processing,,Wool and Fiber Arts,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote
