name,city,state,url,website,buy_link,phone,email,type,raising,notes,products,production,source,source_url,prices
DeBragga,New York,NY,https://www.debragga.com/,https://www.debragga.com/,https://www.debragga.com/veal.html,646-873-6555,,veal_retailer,conventional,"New York's Butcher; milk-fed veal from 120 farms in OH + PA; Holstein calves; no hormones, no sub-therapeutic antibiotics; osso buco 6-pack $226, frenched rack chops 4-pack $170; glace de veau $27; fresh overnight delivery; serves legendary chefs",No Hormones; Osso Buco,120 farms; OH + PA sourced,web,https://www.debragga.com/,Osso buco 6pk $226; rack chops 4pk $170; glace de veau $27
D'Artagnan,Union,NJ,https://www.dartagnan.com/,https://www.dartagnan.com/,https://www.dartagnan.com/buy/veal/,800-327-8246,,veal_retailer,conventional,"Gourmet meat purveyor; milk-fed veal (French Charolais/Limousin imported + domestic); humanely raised, no antibiotics/hormones; Milanese chops $46-$47; striploin, racks, shanks; 12 veal products; $15 flat shipping; 15% off $199+",Humanely Raised; No Antibiotics,Major gourmet retailer,web,https://www.dartagnan.com/,"Milanese chops $46-$47; rack, shanks, striploin; $15 flat ship"
Exceptional Foods,Pennsauken,NJ,https://www.exfoods.com/,https://www.exfoods.com/,https://www.exfoods.com/products/veal/,215-739-8450,orders@exfoods.com,veal_wholesale,conventional,"Wholesale meat distributor NJ/PA/DE; sources Plume De Veau milk-fed veal; tether-free, Ohio State certified; top round, medallions, shank, osso buco, bones, demi-glace, chops, cheeks, sweetbreads, breast; new accounts call sales team",Osso Buco; Demi-Glace,Wholesale distributor; NJ/PA/DE territory,web,https://www.exfoods.com/,Wholesale; call 215-739-8450 for pricing
Provimi Foods,,,https://provimifoods.com/,https://provimifoods.com/,https://provimifoods.com/our-products/,800-833-8325,,veal_wholesale,conventional,"Veal demi-glace specialist; Traditional (#97877 16lb case), Supreme (#97077 20lb case), Halal (#97477 20lb case); roasted veal bones, ready-to-use sauces; gluten-free, starch-free; foodservice wholesale",Veal Bones; Demi-Glace; Halal,Major demi-glace producer,web,https://provimifoods.com/,Traditional 16lb case; Supreme 20lb case; Halal 20lb case; wholesale
Chicago Wholesale Meats (Northwest Meat Co),Chicago,IL,https://www.chicagowholesalemeats.com/,https://www.chicagowholesalemeats.com/,https://www.chicagowholesalemeats.com/product/wholesale-veal/,,,veal_wholesale,conventional,"Chicago wholesale meat distributor; veal osso buco, shanks, chops, ground, various wholesale cuts; foodservice + restaurant supply",Osso Buco,Wholesale distributor; Chicago IL,web,https://www.chicagowholesalemeats.com/,"Wholesale; veal osso buco 14oz, chops, shanks"
Fischer Bros & Leslie,New York,NY,https://www.fischerbros.com/,https://www.fischerbros.com/,https://www.fischerbros.com/products/597,,,veal_retailer,conventional,Kosher butcher/retailer; veal shank osso buco $29.98/lb; premium veal cuts; New York City,Osso Buco; Veal Shank; Kosher,NYC kosher butcher,web,https://www.fischerbros.com/,Osso buco $29.98/lb; premium veal cuts
Halperns' Steak & Seafood,Atlanta,GA,https://halperns.com/,https://halperns.com/,https://halperns.com/our-products/veal/,866-659-6090,,veal_wholesale,both,"Gourmet wholesale; milk-fed + range-fed veal; custom cutting; 7 locations: Atlanta GA, Ft Lauderdale/Naples/Orlando FL, Baltimore MD, Arlington TX, Walton KY, Kalamazoo MI; osso buco, racks, chops, custom cuts; part of GFS family",Osso Buco,7 US locations; national wholesale,web,https://halperns.com/,Wholesale; milk-fed + range-fed veal; custom cut
Pritzlaff Wholesale Meats,New Berlin,WI,https://pritzlaffmeats.com/,https://pritzlaffmeats.com/,http://www.pritzlaffmeats.com/OUR-PRODUCTS/VEAL,866-290-0507,,veal_wholesale,conventional,"Wisconsin wholesale meats; Dutch veal: racks, chops, ribeye, breast, osso buco, short ribs, tenderloin, cutlets; all-natural; M-F 8am-4:30pm CST; fax orders 24/7; restaurant + foodservice",Osso Buco,Wholesale distributor; New Berlin WI,web,https://pritzlaffmeats.com/,Wholesale; Dutch veal cuts; call for pricing
Weiss Meats,Pittsburgh,PA,https://www.weissmeats.com/,https://www.weissmeats.com/,https://www.weissmeats.com/store/wholesale,800-870-0545,orders@weissmeats.com,veal_wholesale,conventional,"Since 1948; Pittsburgh wholesale; serves PA/WV/OH; grocers, restaurants, caterers; veal + custom cuts; 5-6 day delivery; M-Sa 8am-6pm",Wholesale veal; food service; bulk,Est. 1948; PA/WV/OH territory,web,https://www.weissmeats.com/,Wholesale; custom-cut + portioning; special orders
Alony Glatt (Kosher Grass Fed),Davie,FL,https://alonyglatt.com/,https://alonyglatt.com/,https://alonyglatt.com/collections/veal,954-483-9909,AlonyGlatt@gmail.com,veal_retailer,pasture_raised,"Kosher (glatt) grass-fed veal; osso buco $15.99/lb; veal chop $32.99/lb; half veal ~$13.99/lb; 100% USA born/raised/processed; Sun-Thu 9am-8pm, Fri 9am-2pm; nationwide delivery",Osso Buco; Half Veal; Kosher,Online kosher retailer; Davie FL,web,https://alonyglatt.com/,Osso buco $15.99/lb; chop $32.99/lb; half veal $13.99/lb
KOSH,,NY,https://www.kosh.com/,https://www.kosh.com/,https://www.kosh.com/kosher-veal.html,845-295-5152,,veal_retailer,conventional,"Premium kosher veal; PA milk-fed; Marble & Grain brand; 2-bone rib chops $54.99/lb; hand-cut, vacuum-sealed, frozen; Star-K Glatt certified; free ground shipping $350+; ships M-Thu",Kosher,PA milk-fed veal; online kosher retail,web,https://www.kosh.com/,Rib chops $54.99/lb; case of 10 ~$336; free ship $350+
Lobel's of New York,New York,NY,https://www.lobels.com/,https://www.lobels.com/,https://www.lobels.com/all-natural-veal-25,877-783-4512,,veal_retailer,conventional,"Premier NYC butcher since 1840; all-natural milk-fed veal from upper Midwest; hormone + antibiotic-free; chops, roasts, cutlets, ground, osso buco, stew, CulinArte Glace de Veau; ships nationwide; legendary quality",Osso Buco,Est. 1840; upper Midwest sourced,web,https://www.lobels.com/,"Strip steak $30-$33; chops, roasts, cutlets, glace de veau"
Prairie Street (Kosher),,,https://prairiestreet.co/,https://prairiestreet.co/,https://prairiestreet.co/collections/veal,,info@prairiestreet.co,veal_retailer,pasture_raised,"Star-K kosher veal; pasture-fed, humanely raised on US family farms; rib chops $52; paillard, cutlets, ground, osso buco; free 3-day shipping US $100+; 10% subscription discount; WhatsApp ordering",Humanely Raised; Osso Buco; Kosher,US family farm sourced,web,https://prairiestreet.co/,Rib chops $52; free 3-day ship $100+; 10% sub discount
Fossil Farms,Boonton,NJ,https://www.fossilfarms.com/,https://www.fossilfarms.com/,https://www.fossilfarms.com/,973-917-3155,,veal_retailer,conventional,"Specialty + game meat retailer; retail store + online; 81 Fulton St Boonton NJ; free shipping $199+; store pickup available 24hr notice; M-F 9-5; veal, game meats, exotic proteins",Veal cuts; bones; online retail,Specialty retailer; Boonton NJ,web,https://www.fossilfarms.com/,Free shipping $199+; specialty cuts; call for veal availability
Pat LaFrieda Meat Purveyors,North Bergen,NJ,https://www.lafrieda.com/,https://www.lafrieda.com/,https://shop.lafrieda.com/collections/veal,,,veal_retailer,conventional,"Largest veal distributor in New York; milk-fed veal from Mennonite + Amish family farms; humanely raised in group housing; Temple Grandin-designed facilities; rib chops 12oz + 16oz, porterhouse chops 14oz; online + wholesale via chefandrestaurantsupply.com",Humanely Raised,Largest NYC veal distributor,web,https://shop.lafrieda.com/,"Rib chops, porterhouse; wholesale + online retail"
S. Ottomanelli & Sons,Queens,NY,https://ottomanelli.com/,https://ottomanelli.com/,https://ottomanelli.com/product-category/veal/,718-651-5544,,veal_retailer,conventional,"NYC butcher; natural milk-fed veal; loin chops $15-$45, rib chops $15-$45, cutlets $23, osso buco $65; antibiotic-free, hormone-free, vegetarian-fed; ships nationwide; 60-15 Woodside Ave Queens NY",Osso Buco,NYC butcher; Queens + Greenwich Village,web,https://ottomanelli.com/,Chops $15-$45; cutlets $23; osso buco $65
Vincent's Meat Market,Bronx,NY,https://vincentsmeatmarket.com/,https://vincentsmeatmarket.com/,https://vincentsmeatmarket.com/product-category/veal/,718-295-9048,theservice@vincentsmeatmarket.com,veal_retailer,conventional,"Since 1954; Arthur Ave Bronx; family-owned; hand-cut never-frozen; cutlets $34, rib chops $41-$60, osso buco $45-$180, stew $22; ships nationwide + NYC local delivery; M-Sa 9-5; text 929-736-2110",Osso Buco,Est. 1954; Arthur Ave Bronx,web,https://vincentsmeatmarket.com/,Cutlets $34; chops $41-$60; osso buco $45-$180; stew $22
Citarella,New York,NY,https://www.citarella.com/,https://www.citarella.com/,https://www.citarella.com/shop,212-874-0383,,veal_retailer,conventional,"Premium NYC grocer; ground veal $17.49/lb; veal chops, cutlets; same-day delivery or pickup; nationwide overnight shipping $35-$70; min $75 order; M-Sa 9-7, Sun 10-6; multiple NYC locations",Veal Chops; Ground Veal,Premium retailer; multiple NYC locations,web,https://www.citarella.com/,Ground veal $17.49/lb; overnight ship $35-$70; min $75
Farmingdale Meat Market,Farmingdale,NY,https://farmingdalemeatmarket.com/,https://farmingdalemeatmarket.com/,https://farmingdalemeatmarket.com/collections/veal,516-249-8200,info@mainstreetmeats.com,veal_retailer,conventional,"Since 1946; family-owned Long Island butcher; bones $4.13/lb, ground 2lb $16.54, rib chops $27.16, porterhouse $16.20, osso buco $20.81/14oz; also Main Street Wholesale for restaurants; free local delivery $200+; nationwide 3-4 day ship; M-Sa 9-6, Sun 9-3",Osso Buco,Est. 1946; Long Island NY,web,https://farmingdalemeatmarket.com/,Bones $4.13/lb; ground $8.27/lb; chops $27; osso buco $21
Cappuccio's Meats,Philadelphia,PA,https://shop.cappuccios.com/,https://shop.cappuccios.com/,https://shop.cappuccios.com/products/631760724a98d1002f02054f/fresh-veal-stock-bones,215-922-5792,cappucciosmeats@comcast.net,veal_retailer,conventional,Italian Market Philadelphia; fresh veal stock bones $5.99/lb; online shop + in-store; 1019 S 9th St Philadelphia PA,Veal Stock,Italian Market butcher; Philadelphia PA,web,https://shop.cappuccios.com/,Veal stock bones $5.99/lb; fresh cuts
Paulina Market,Chicago,IL,https://www.paulinamarket.com/,https://www.paulinamarket.com/,https://www.paulinamarket.com/products/veal-bones,773-248-6272,,veal_retailer,conventional,"Classic Chicago butcher; Wisconsin veal; bones $10.95/~1.5lb; full veal selection; M-F 9-6, Sa 9-5; 3501 N Lincoln Ave Chicago IL; Ask the Butcher feature",Veal cuts; bones; online retail,Chicago butcher; Wisconsin veal sourced,web,https://www.paulinamarket.com/,Bones $10.95/1.5lb; full veal counter
Springfield Butcher,Springfield,VA,https://www.springfieldbutcher.com/,https://www.springfieldbutcher.com/,https://www.springfieldbutcher.com/product/Veal-Bones,703-245-0111,info@springfieldbutcher.com,veal_retailer,conventional,"Since 1977; veal bones $5.99/1.5lb avg; online ordering with in-store pickup; serves DC/MD/VA area; Tu-Sa 10-6, Sun 10-3; 6310B Springfield Plaza Springfield VA",Veal Bones,Est. 1977; Springfield VA,web,https://www.springfieldbutcher.com/,Veal bones $5.99/1.5lb; full butcher counter
Amos Miller Organic Farm,Bird-in-Hand,PA,https://amosmillerorganicfarm.com/,https://amosmillerorganicfarm.com/,https://amosmillerorganicfarm.com/product-category/meats-only/milk-fed-and-grass-finished-veal/,717-556-0672,,veal_farm,pasture_raised,"Organic Amish farm; milk-fed + grass-finished veal; no hormones, antibiotics, GMO, drugs, or vaccines; ground veal $11.50/lb, marrow bones $17.50/lb, veal broth $8.50/pint; also beef tallow $6.50-$11/pint-qt; Private Member Association; ships M-Thu; min $50 order",No Hormones; Organic; Marrow Bones; Ground Veal,Organic Amish farm; Bird-in-Hand PA,web,https://amosmillerorganicfarm.com/,Marrow bones $17.50/lb; ground $11.50/lb; broth $8.50/pt; beef tallow $6.50-$11
Harmony Acres,,,https://harmonyacres.com/,https://harmonyacres.com/,https://harmonyacres.com/store/beef/veal,888-711-8777,,veal_farm,pasture_raised,"100% grass-fed veal; food ministry model (membership donations); rotationally grazed year-round; no pesticides or chemicals; multiple pickup locations across USA + home delivery; raw dairy, pastured eggs, pork, chicken also available",Veal; pasture-raised; farm direct,Multi-state pickup network,web,https://harmonyacres.com/,Membership/donation model; 100% grass-fed veal
Star Dairy (Rose Veal),,,https://stardairy.weebly.com/,https://stardairy.weebly.com/,https://stardairy.weebly.com/rose-veal.html,,staressence@gmail.com,veal_farm,pasture_raised,Rose veal from dairy bull calves; raised on mother's milk + fresh grass spring/summer; butchered in fall; whole animal $6/lb hanging weight + butchering; half $6.50/lb; seasonal availability,Rose Veal,Small family dairy; seasonal fall harvest,web,https://stardairy.weebly.com/,Whole $6/lb hanging wt; half $6.50/lb + butchering
Porter and York,,,https://porterandyork.com/,https://porterandyork.com/,https://porterandyork.com/product/buy-veal-osso-bucco-online/,,hey@porterandyork.com,veal_retailer,pasture_raised,"Pasture-raised veal osso buco 2-pack $54; natural Angus, harvested 18-20 wks (400-500 lbs); Midwest family farms; grass-fed grain-finished; creamy pink color, velvety texture; ships frozen nationwide",Osso Buco,Midwest family farm sourced,web,https://porterandyork.com/,Osso buco 2-pack $54; pasture-raised
Kansas City Steaks,Kansas City,MO,https://www.kansascitysteaks.com/,https://www.kansascitysteaks.com/,https://www.kansascitysteaks.com/beef/veal,877-377-8325,,veal_retailer,conventional,"Premium veal online; osso buco $215-$365 (hind shank 1lb each, wet-aged); rib chops bone-in wet-aged; ships nationwide (except CA/MA due to legislation); 10% off $100+ site-wide; includes cooking guide",Osso Buco,Major online meat retailer,web,https://www.kansascitysteaks.com/,Osso buco $215-$365; rib chops; 10% off $100+
Grand Western Steaks,,,https://grandwesternsteaks.com/,https://grandwesternsteaks.com/,https://grandwesternsteaks.com/veal-osso-bucco-domestic.html,877-624-6898,,veal_retailer,conventional,American veal osso bucco + frenched veal chops; ships nationwide; M-F 8-5; loyalty rewards program; Give $20 Get $20 promo,Veal Chops,Online meat retailer,web,https://grandwesternsteaks.com/,Osso bucco; frenched chops; call for pricing
Savenor's Market,Boston,MA,https://savenorsbutchery.com/,https://savenorsbutchery.com/,https://savenorsbutchery.com/collections/veal,617-723-6328,,veal_retailer,conventional,"Premium Boston butcher; veal rib chops, loin chops, shank osso bucco, sweetbreads; ships nationwide online; 2 locations: 160 Charles St Boston + 92 Kirkland St Cambridge; same-day Cambridge delivery before 11am",Veal cuts; bones; online retail,Premium butcher; Boston + Cambridge,web,https://savenorsbutchery.com/,"Premium veal cuts; rib chops, osso buco, sweetbreads"
Baldor Specialty Foods,Bronx,NY,https://www.baldorfood.com/,https://www.baldorfood.com/,https://www.baldorfood.com/farms/atlantic-veal-and-lamb,718-860-9100,,veal_wholesale,conventional,"Premier NYC wholesale food distributor; carries Plume De Veau (Atlantic Veal & Lamb); serves restaurants, hotels, food markets; Northeast coverage; M-F 9-5",Wholesale veal; food service; bulk,Major NYC wholesale distributor,web,https://www.baldorfood.com/,Wholesale; Plume De Veau + specialty meats
White Oak Pastures,Bluffton,GA,https://whiteoakpastures.com/,https://whiteoakpastures.com/,https://whiteoakpastures.com/products/grassfed-beef-suet,,,veal_retailer,pasture_raised,"Since 1866; regenerative farm; grassfed beef suet + raw fat; also bones, organs; free ship $249+; $15 perishable ship $149+; Bluffton GA; one of largest pasture-raised operations in US",Veal cuts; bones; online retail,Est. 1866; major regenerative farm; Bluffton GA,web,https://whiteoakpastures.com/,Grassfed suet; free ship $249+; $15 ship $149+
Bastrop Cattle Company,Bastrop,TX,https://www.bastropcattlecompany.com/,https://www.bastropcattlecompany.com/,https://www.bastropcattlecompany.com/shop/p/suet,512-537-6893,sales@BastropCattleCompany.com,veal_retailer,pasture_raised,"Woman-owned; 100% grass-fed grass-finished beef suet; vacuum-sealed 2-3lb packs; 10lb $7.50/lb, 20lb $7.25/lb, 40lb $7/lb; no antibiotics/hormones; no retail store, online + email only; ranch pickup by appt",No Antibiotics,Small ranch; Bastrop TX,web,https://www.bastropcattlecompany.com/,Suet 10lb $7.50/lb; 20lb $7.25/lb; 40lb $7/lb; +$20 TX ship
Beaver Brook Ranch,Hope,NJ,https://beaverbrookranch.com/,https://beaverbrookranch.com/,https://beaverbrookranch.com/product/grass-fed-bulk-tallow-rendered-suet/,908-509-7102,,veal_retailer,pasture_raised,"Grass-fed rendered tallow from 100% suet; dry-rendered triple-filtered; gallon (7lb) $18/lb ($126); 42+lb $15.30/lb; tallow balm $15-$77; farm store Sa 9-12, Fr 9-3; free ship $250+ eastern US; cGMP audited",Veal cuts; bones; online retail,Family farm; Hope NJ,web,https://beaverbrookranch.com/,Bulk tallow 7lb $126 ($18/lb); 42lb+ $15.30/lb; balm $15-$77
