name,city,state,url,website,buy_link,phone,email,type,certification,notes,products,production,source,source_url,prices
Growing Family Farms,Spencerport,NY,https://www.growingfamilyfarms.com/,https://www.growingfamilyfarms.com/,https://www.growingfamilyfarms.com/,585-301-5926,growingfamilyfarms@gmail.com,potato_farm,certified_organic,USDA certified organic 6 acres; vegetables fruits eggs chicken; CSA 12wk Jun-Aug + extended Sep-Nov; pickup Hilton Rochester Brighton; 602 Peck Rd Spencerport NY,Organic; Certified Organic; Csa,6 acres certified organic; Spencerport NY,web,https://www.localharvest.org/growing-family-farms-M67938,CSA 12wk main + 10wk extended; contact for pricing
Miolea Organic Farm,Adamstown,MD,https://www.mioleafarm.com/,https://www.mioleafarm.com/,https://www.mioleafarm.com/,301-437-8958,Miolea@aol.com,potato_farm,certified_organic,USDA certified organic since 2007; 183 yrs working farm; Caribou Russet potatoes Aug; by appointment; Catoctin Mountain foothills Frederick County,Russet; Organic; Certified Organic,183 years; Frederick County MD,web,https://www.mioleafarm.com/,Contact for availability; potatoes from Aug
Uncommon Acres,Firth,ID,https://www.localharvest.org/uncommon-acres-M74238,https://www.localharvest.org/uncommon-acres-M74238,https://www.localharvest.org/uncommon-acres-M74238,,,potato_farm,organic,3-acre organic farm since 2015; organic seeds pesticide-free; potatoes beets carrots beans greens; CSA $85/mo half-bushel Wed delivery Idaho Falls late May-Oct,Organic; Csa,3 acres; Firth ID,web,https://www.localharvest.org/uncommon-acres-M74238,CSA $85/mo; late May-Oct
Lake Breeze Organics,Benton Harbor,MI,https://www.localharvest.org/lake-breeze-organics-M26604,https://lakebreezeorganics.com/,https://www.localharvest.org/lake-breeze-organics-M26604,269-762-0992,,potato_farm,certified_organic,Certified organic; potatoes carrots broccoli onions garlic; CSA $550 Jun-Sep; Chicago Evanston Stevensville pickup; Evanston farmers market Sat; heirloom tomatoes 50+ varieties,Organic; Certified Organic; Csa; Farmers Market; Heirloom,Certified organic; Benton Harbor MI,web,https://www.localharvest.org/lake-breeze-organics-M26604,CSA $550 full share; Jun-Sep
Alcantar Organics,Carpinteria,CA,https://www.localharvest.org/alcantar-organics-M78187,https://www.localharvest.org/alcantar-organics-M78187,https://www.localharvest.org/alcantar-organics-M78187,,,potato_farm,certified_organic,Santa Barbara County certified organic; year-round CSA $30/wk no minimum; Sherman Oaks Thousand Oaks Ventura Malibu Brentwood pickup; supplies schools restaurants farmers markets,Organic; Certified Organic; Csa; Farmers Market,Certified organic; Carpinteria CA,web,https://www.localharvest.org/alcantar-organics-M78187,CSA $30/wk; year-round
Lakestone Family Farm,Farmington,NY,https://www.localharvest.org/lakestone-family-farm-M62964,https://lakestonefamilyfarm.com/,https://www.localharvest.org/lakestone-family-farm-M62964,,,potato_farm,certified_organic,Certified organic Finger Lakes; CSA market-pick style; large $600/20wk small $400/20wk; Brighton Canandaigua farmers markets; summer fall shares; 50 shares,Organic; Certified Organic; Csa; Farmers Market,Family farm since 2011; Farmington NY,web,https://www.localharvest.org/lakestone-family-farm-M62964,CSA large $600 small $400; 20 weeks
Full Circle Farm,Three Rivers,MI,https://www.localharvest.org/full-circle-farm-M73164,https://www.fullcircle.farm/,https://www.localharvest.org/full-circle-farm-M73164,,,potato_farm,organic,Certified Naturally Grown; regenerative; carrots beans garlic leeks microgreens mushrooms; CSA 7-9 items Jun-Oct + fall/winter; HUSS Portage farmers markets; 50 shares,Csa; Farmers Market,Certified Naturally Grown; Three Rivers MI,web,https://www.localharvest.org/full-circle-farm-M73164,CSA main + fall/winter; contact for pricing
Long Valley Farm,Kalamazoo,MI,https://www.localharvest.org/long-valley-farm-M45461,https://www.longvalleyfarm.com/,https://www.localharvest.org/long-valley-farm-M45461,269-903-7706,,potato_farm,organic,Regenerative sustainable chemical-free; 18wk CSA Jun-mid-Oct single 5 items family 10 items; Kalamazoo Farmers Market Sat/Tue; SNAP $6/wk; 1616 Alamo Ave Wed pickup,Csa; Farmers Market,Under 2 acres; east Kalamazoo,web,https://www.localharvest.org/long-valley-farm-M45461,CSA 18wk; SNAP $6/wk available
Wiley Veggie Shed & Farm,Schoolcraft,MI,https://www.localharvest.org/wiley-veggie-shed-farm-M62651,https://www.localharvest.org/wiley-veggie-shed-farm-M62651,https://www.localharvest.org/wiley-veggie-shed-farm-M62651,269-679-5511,,potato_farm,,Family farm since 1956; high tunnels extend season; U-Pick farm stand; 1335 W U Ave Schoolcraft MI; contact for organic potato availability,Organic; Farm Stand,Family farm since 1956; Schoolcraft MI,web,https://www.localharvest.org/wiley-veggie-shed-farm-M62651,Contact for farm stand pricing
Regional Access (Williams Farms),Marion,NY,https://regionalaccess.net/,https://regionalaccess.net/,https://regionalaccess.net/,607-319-5150,info@regionalaccess.net,potato_wholesale,certified_organic,Williams Farms organic 50lb red; 750 acres USDA organic; Marion NY; Regional Access distributes; contact for price,Organic; Usda Organic,Williams Farms 750 acres organic; Marion NY,web,https://regionalaccess.net/,50lb organic red; contact for price
Alsum Farms,Friesland,WI,https://www.alsum.com/,https://www.alsum.com/,https://www.alsum.com/,920-348-5127,sales@Alsum.com,potato_wholesale,certified_organic,50lb organic russet red gold; food service wholesale; Friesland WI; contact for pricing,Russet; Organic; Wholesale,WI potato grower; Friesland,web,https://www.alsum.com/,50lb organic russet/red/gold; contact for price
Pacific Coast Fresh,,,https://www.pcfreshco.com/,https://www.pcfreshco.com/,https://www.pcfreshco.com/vegetables/potato/,800-423-4945,,potato_wholesale,certified_organic,50lb organic red gold potatoes; wholesale food service; account required for pricing; ships,Organic; Wholesale,Wholesale produce distributor,web,https://www.pcfreshco.com/,50lb organic red/gold; contact for price
EarthFresh (New Crop Organics),,,https://www.earthfreshfoods.com/,https://www.earthfreshfoods.com/,https://www.earthfreshfoods.com/newcroporganics/,800-565-4915,info@earthfreshfoods.com,potato_processor,certified_organic,"Southern organic potatoes; red, yellow, russet, mini; 1.5-10 lb packs; Pro-Cert + USDA organic; Burlington ON, Houston TX, Idaho Falls ID; year-round retail packs",Russet; Organic; Usda Organic; Retail,Multi-facility; 600K lb/day capacity Burlington,web,https://www.earthfreshfoods.com/,1.5-10 lb packs; retail distribution
Long Acres Potato Farms,Tionesta,PA,https://longacresfarms.com/,https://longacresfarms.com/,https://longacresfarms.com/,814-744-8454,laaron@longacresfarms.com,potato_processor,,Bulk wholesale; table stock potatoes; 4th gen family farm; contact for organic availability; Tionesta PA,Organic; Wholesale,4th generation; Tionesta PA,web,https://longacresfarms.com/,Contact for bulk wholesale
Lancaster Farm Fresh Cooperative,,PA,https://lancasterfarmfresh.com/,https://lancasterfarmfresh.com/,https://lancasterfarmfresh.com/csa-store/organic-gold-potatoes-10-lbs/,717-656-3533,csa@lancasterfarmfresh.com,potato_retailer,certified_organic,CHEAP CERTIFIED ORGANIC: 90+ certified organic PA farms; organic gold potatoes 10lb $17.99 ($1.80/lb); non-profit cooperative; Lancaster/Chester counties; CSA + add-ons; order deadlines by pickup day,Organic; Certified Organic; Csa,90+ certified organic farms; PA cooperative,web,https://lancasterfarmfresh.com/,Organic gold 10lb $17.99 ($1.80/lb); sweet potatoes 10lb $21.99
Chatham Farm Supply (Country Farm & Home),Pittsboro,NC,https://chathamfarmsupply.com/,https://chathamfarmsupply.com/,https://chathamfarmsupply.com/seasonal-orders/2026-organic-seed-potato-orders-open,,,potato_retailer,certified_organic,"Organic seed potatoes from Grand Teton Organics; 40+ varieties; 2026 orders open; 50% deposit 50+ lb; Carolina delivery routes; Yukon Baby, Masquerade, Purple Violet fingerling",Seed Potatoes; Fingerling; Purple; Organic,Farm supply; Pittsboro NC,web,https://chathamfarmsupply.com/,Seasonal; 40 varieties; 50% deposit 50+ lb
Good Box Organics,Granada Hills,CA,https://goodboxorganics.com/,https://goodboxorganics.com/,https://goodboxorganics.com/order,,goodboxorganics@gmail.com,potato_retailer,certified_organic,100% organic LA area delivery; produce boxes $20.95-$55.95; potatoes in seasonal boxes; Granada Hills CA,Organic,Organic delivery; LA area,web,https://goodboxorganics.com/,Boxes $20.95-$55.95; potatoes in seasonal mix
Costco,,,https://www.costco.com/,https://www.costco.com/,https://www.costco.com/,,,potato_retailer,certified_organic,Membership required; organic gold 10lb ~$5-8; organic russet 10lb ~$3-8; location-dependent; limited stock at some warehouses,Russet; Organic,National warehouse club,web,https://www.costco.com/,Organic 10lb ~$3-8; varies by location
Aldi,,,https://www.aldi.us/,https://www.aldi.us/,https://www.aldi.us/,,,potato_retailer,certified_organic,Retail; Simply Nature organic yellow potatoes; organic sweet potatoes; prices vary by region,Organic; Retail,National discount grocer,web,https://www.aldi.us/,Organic yellow ~$3.49-3.99; varies by location
Sam's Club,,,https://www.samsclub.com/,https://www.samsclub.com/,https://www.samsclub.com/p/organic-potatoes-5-lbs/prod4500238,,,potato_retailer,certified_organic,Membership required; organic potatoes 5lb; organic sweet potatoes 5lb ~$5.86; organic fingerling 5lb; availability varies,Fingerling; Organic,National warehouse club,web,https://www.samsclub.com/,Organic 5lb; sweet potato 5lb ~$5.86
Good Eggs,San Francisco,CA,https://www.goodeggs.com/,https://www.goodeggs.com/,https://www.goodeggs.com/produce/potatoes,,,potato_retailer,certified_organic,Bulk organic russet 3lb 5lb; CA Bay Area delivery; local farmers Veritable Vegetable; multiple delivery days,Russet; Organic,Online grocery; CA delivery,web,https://www.goodeggs.com/,Bulk organic russet 3lb 5lb; browse for current
National Potato Council,Washington,DC,https://www.nationalpotatocouncil.org/,https://www.nationalpotatocouncil.org/,https://www.nationalpotatocouncil.org/,202-682-9456,info@nationalpotatocouncil.org,association,,"Founded 1948; national advocacy for US potato growers; policy, trade, research, labor; 50 F St NW Suite 900 Washington DC",Industry directory; advocacy; certification,National advocacy; DC,web,https://www.nationalpotatocouncil.org/,Contact for pricing
Potatoes USA,Denver,CO,https://potatoesusa.com/,https://potatoesusa.com/,https://potatoesusa.com/,303-369-7783,Media@PotatoesUSA.com,association,,Certified seed grower directory; state programs AK CA CO ID ME MI MN MT NY ND OR WA WI; 3675 Wynkoop St Denver CO,Industry directory; advocacy; certification,National potato board; Denver CO,web,https://potatoesusa.com/,Contact for pricing
