name,city,state,url,website,buy_link,phone,email,type,notes,products,production,source,source_url,prices
Ramblers Way Farm – Wool Supply,Kennebunk,ME,https://www.ramblersway.com/,https://www.ramblersway.com/,https://www.ramblersway.com/,207-467-8118,,wool_buyer,ASI; also Ramblers Way apparel brand,Apparel,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
R.H. Lindsay Company,Boston,MA,https://www.rhlindsaywool.com/,https://www.rhlindsaywool.com/,https://www.rhlindsaywool.com/,617-571-4473,,wool_buyer,ASI; wool broker/dealer; New England; raw wool buying + selling,Raw Wool,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Michell International,Boston,MA,https://www.michell.com.au/,https://www.michell.com.au/,https://www.michell.com.au/,781-582-0254,,wool_buyer,ASI; global wool top-maker; Australian parent; Boston US office,Wool; raw fleece; wool brokerage,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Center of the Nation Wool,Billings,MT,,,,406-245-9112,,wool_buyer,ASI; MT/WY/SD region; raw wool buying + warehousing,Raw Wool,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
International Textile Group (Burlington),Greensboro,NC,,,,336-379-2096,,wool_buyer,ASI; parent of Cone Denim + Burlington Industries; woven fabrics; military + commercial,Fabric,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Bowman Wool,Bowman,ND,,,,406-581-7772,,wool_buyer,ASI; Northern Plains wool buyer,Wool; raw fleece; wool brokerage,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Columbia Wool Scouring Mill (Pendleton),Portland,OR,https://www.pendleton-usa.com/,https://www.pendleton-usa.com/,https://www.pendleton-usa.com/,503-289-3642,,wool_buyer,ASI; Pendleton subsidiary; raw wool scouring; supplies Pendleton mills in OR + WA,Scouring; Raw Wool,Pendleton supply chain,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Bollman Industries,Adamstown,PA,https://www.bollmanhats.com/,https://www.bollmanhats.com/,https://www.bollmanhats.com/,717-484-4361,,wool_buyer,ASI; raw wool buyer for hat manufacturing; also operates wool scouring plant in San Angelo TX,Scouring; Raw Wool,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
"TradeWell International, Inc",North Kingstown,RI,,,,401-667-0500,,wool_buyer,ASI; international wool trading,Wool; raw fleece; wool brokerage,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Chargeurs Wool (USA) Inc,Jamestown,SC,https://chargeurswoolusa.com/,https://chargeurswoolusa.com/,https://chargeurswoolusa.com/,843-257-4569,,wool_buyer,"ASI; top 3 global wool processor; scouring, carbonizing, combing; French parent Chargeurs SA",Scouring; Combing,Top 3 global processor,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Textile Fibers International,Lake City,SC,,,,843-394-7718,,wool_buyer,ASI; specialty fiber buying; South Carolina,Wool; raw fleece; wool brokerage,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
"Anodyne, Inc",San Angelo,TX,https://www.anodynewool.com/,https://www.anodynewool.com/,https://www.anodynewool.com/,325-653-3061,,wool_buyer,ASI; wool + mohair buyer; West Texas,Mohair,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Blackwell Enterprises,Goldthwaite,TX,,,,325-648-3103,,wool_buyer,ASI; wool + mohair buyer; Central Texas,Mohair,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Entrenos Inc,San Angelo,TX,,,,325-651-2665,,wool_buyer,ASI; wool buyer; San Angelo TX,Wool; raw fleece; wool brokerage,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Keese International LLC,Brady,TX,,,,325-456-8662,,wool_buyer,ASI; wool + mohair buyer; Brady TX,Mohair,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Wool Partners Inc,Sonora,TX,,,,325-413-1200,,wool_buyer,ASI; wool + mohair buyer; West Texas rangelands; Sonora TX,Mohair,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Great Plains Wool Company,Big Horn,WY,,,,307-674-4504,,wool_buyer,ASI; WY wool buyer + dealer; Big Horn Basin,Wool; raw fleece; wool brokerage,,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
American Woolen Company,Stafford Springs,CT,https://americanwoolen.com/,https://americanwoolen.com/,https://americanwoolen.com/,860-684-2766,info@americanwoolen.com,wool_fabric,"Fine worsted and woolen fabrics; 40 looms; ~25 workers; 480 yd min; 7-35 oz/yd; RWS-certified wool, mohair, alpaca, bison; since 1899",Worsted; Woolen; Alpaca; Mohair; Fabric; Rws,Est. 1899; 40 looms; 25 employees,web,https://americanwoolen.com/,Commission weaving; 480 yd minimum
Worsted Spinning New England (Mill Wool),Uxbridge,MA,https://millwool.com/,https://millwool.com/,https://millwool.com/,,,wool_mill,"100+ yr old 60,000 sqft worsted spinning mill; acquired 2019; bulky-to-lace weight yarns; USA + breed-specific wools; serves large industrial + small wholesale (min 3-lb cones)",Spinning; Yarn; Worsted,"100+ years; 60,000 sqft mill",web,https://millwool.com/,B2B wholesale; 3-lb cone minimum
Crescent Woolen Mills,Two Rivers,WI,https://www.crescentwoolenmills.com/,https://www.crescentwoolenmills.com/,https://www.crescentwoolenmills.com/,920-793-3331,marketing@crescentwoolenmills.com,wool_mill,"Since 1923; family-owned; woolen-spun + open-end spinning; wool, alpaca, angora, silk, mohair, camel, synthetics; blending, carding, spinning, winding, twisting; Berry Amendment compliant; also Owen Glove Lining subsidiary",Carding; Spinning; Woolen; Alpaca; Mohair,Est. 1923; family-owned,web,https://www.crescentwoolenmills.com/,B2B/wholesale; contact for quote
Kentwool Manufacturing,Pickens,SC,https://kentwoolyarn.com/,https://kentwoolyarn.com/,https://kentwoolyarn.com/,864-878-6367,,wool_mill,Since 1843; worsted Merino yarn; RWS certified; USTERIZED (only US mill); 56 employees; $12.9M rev; Kim Kent CEO; also Kentwool socks brand; custom fiber blends,Yarn; Worsted; Socks; Merino; Rws,Est. 1843; 56 employees; $12.9M rev,web,https://kentwoolyarn.com/,B2B yarn + retail socks $20-$22/pair
Carolina Mills,Maiden,NC,https://www.carolinamills.com/,https://www.carolinamills.com/,https://www.carolinamills.com/,,info@carolinamills.com,wool_mill,"Since 1928; specialty + innovative spun yarns; wool, synthetic, COOLMAX, REPREVE recycled, SORBTEK; natural + technical fiber blends; global customers",Yarn,Est. 1928; 90+ years,web,https://www.carolinamills.com/,B2B/wholesale
Pendleton Woolen Mills,Portland,OR,https://www.pendleton-usa.com/,https://www.pendleton-usa.com/,https://www.pendleton-usa.com/,877-996-6599,pendletoncustomerservice@penwool.com,wool_apparel,"Since 1863; 6th-gen family; Oregon + Washougal mills; ~2M yards fabric/yr; blankets, shirts, apparel; NP collection; iconic American brand; 220 NW Broadway Portland HQ",Blankets; Apparel; Fabric,~2M yards fabric/yr; Est. 1863; 2 mills,web,https://www.pendleton-usa.com/,Throws $99-$199; bed blankets $269-$369; shirts $89-$249
Columbia Wool Scouring Mill,Portland,OR,https://www.pendleton-usa.com/,https://www.pendleton-usa.com/,https://www.pendleton-usa.com/,,,wool_processor,Pendleton; wool scouring; processes for Pendleton mills,Scouring,Pendleton supply chain,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote
Ramblers Way,Kennebunk,ME,https://www.ramblersway.com/,https://www.ramblersway.com/,https://www.ramblersway.com/,888-793-9665,customerservice@ramblersway.com,wool_apparel,100% American Rambouillet Merino; traceable to ranch; worsted compacted superfine; stores in Kennebunk ME + Portland ME; Tom Chappell (Tom's of Maine),Worsted; Merino,Traceable American wool; ME manufactured,web,https://www.ramblersway.com/,Sweaters $99-$200; polos $130; quarter-zips $150
Duckworth,Bozeman,MT,https://www.duckworthco.com/,https://www.duckworthco.com/,https://www.duckworthco.com/,406-922-3825,info@duckworthco.com,wool_apparel,"100% Montana-grown Merino; sheep-to-shelf; hoodies, jackets, socks, base layers; Helle family ranch",Socks; Merino,Vertically integrated ranch-to-retail,web,https://www.duckworthco.com/,Base layers $85; hoodies $169-$175; jackets $339-$599
WeatherWool,Elmer,NJ,https://weatherwool.com/,https://weatherwool.com/,https://weatherwool.com/,831-704-1776,,wool_apparel,"100% USA materials, labor, ownership; sources from top American breeders; outerwear, anoraks, CPO shirts, vests, pants; Merino Jacquard; family-owned since 2010; weaving in PA",Weaving; Merino,Est. 2010; 100% USA; woven in PA,web,https://weatherwool.com/,CPO shirts $495-$722; HoodOrak $795; anoraks $700+
Ibex,White River Junction,VT,https://ibex.com/,https://ibex.com/,https://ibex.com/,800-773-9647,,wool_apparel,"Merino wool outdoor apparel; hiking, skiing, cycling; USA-made collection; founded 1997 VT, relaunched 2019; Woolies 250 base layers, TENCEL blends",Apparel; Merino,Founded 1997; relaunched 2019,web,https://ibex.com/,Base layers $135-$145; beanies $45; hoodies $200+
Minus33 Merino Wool Clothing,Ashland,NH,https://minus33.com/,https://minus33.com/,https://minus33.com/,,,wool_apparel,"USA-made 100% Merino base layers in lightweight/midweight/heavyweight; hoodies, pants, crew tops; historic 1840 mill; founded by L.W. Packard engineers",Merino,Historic 1840 mill,web,https://minus33.com/,Base layers $60-$130; hoodies $100+
Voormi,Pagosa Springs,CO,https://voormi.com/,https://voormi.com/,https://voormi.com/,970-264-2724,customerservice@voormi.com,wool_apparel,Technical Merino outdoor apparel; proprietary Core Construction; retail in Pagosa Springs + Bozeman MT,Apparel; Merino,CO + MT operations,web,https://voormi.com/,Base layers from $119; jackets $200+
WURU Wool Co,Salt Lake City,UT,https://wuruwool.com/,https://wuruwool.com/,https://wuruwool.com/,,customerservice@wuruwool.com,wool_apparel,"100% USA-made merino wool apparel; tops, hoodies, base layers, boxer briefs, socks, hats, gaiters; Salt Lake City UT",Apparel; Socks; Hats; Merino,USA manufactured,web,https://wuruwool.com/,Socks $15-$25; base layers $60-$120; hoodies $100+
Filson,Seattle,WA,https://www.filson.com/,https://www.filson.com/,https://www.filson.com/,206-622-3147,,wool_apparel,"Since 1897; Mackinaw wool cruiser jackets, coats, vests; made in Seattle; heritage outdoor brand",Wool apparel; blankets; home goods,Est. 1897; Seattle factory,web,https://www.filson.com/,Wool vests $195-$275; cruiser jackets $400+
Woolrich,Woolrich,PA,https://www.woolrich.com/,https://www.woolrich.com/,https://www.woolrich.com/,551-307-0033,,wool_apparel,"Since 1830; oldest outdoor clothing company in USA; wool shirts, jackets, blankets",Blankets,Est. 1830; oldest US outdoor brand,web,https://www.woolrich.com/,"Overshirts $95-$545; jackets $249-$1,400"
Stormy Kromer,Ironwood,MI,https://www.stormykromer.com/,https://www.stormykromer.com/,https://www.stormykromer.com/,888-455-2253,,wool_apparel,"Since 1903; wool caps, Mackinaw coats, jackets; made in Ironwood MI; Jacquart Fabric Products; lifetime warranty",Fabric,Est. 1903; Ironwood MI factory,web,https://www.stormykromer.com/,Caps $36-$48; shirt jacks $150-$360; Mackinaw coats $400-$510
Johnson Woolen Mills,Johnson,VT,https://www.johnsonwoolenmills.com/,https://www.johnsonwoolenmills.com/,https://www.johnsonwoolenmills.com/,802-635-2271,info@johnsonwoolenmills.com,wool_apparel,"Since 1842; Merino wool hoodies, bib overalls, hunting apparel, beanies; family-owned VT mill",Apparel; Merino,Est. 1842; family-owned,web,https://www.johnsonwoolenmills.com/,Beanies $28; hunting pants/coats $200-$590
Bollman Hat Company,Adamstown,PA,https://www.bollmanhats.com/,https://www.bollmanhats.com/,https://hats.com/bollman,800-959-4287,contact@bollmanhats.com,wool_apparel,"Since 1868; America's oldest hat maker; wool felt hats; Kangol, Bailey, Hats.com brands; employee-owned ESOP; also operates wool scouring plant in San Angelo TX; 16-micron superfine wool",Scouring; Hats,Est. 1868; ~200 employees; ESOP,web,https://www.bollmanhats.com/,Wool felt fedoras $150-$200
Hardwick Clothes,Cleveland,TN,https://hardwickandcompany.com/,https://hardwickandcompany.com/,https://hardwickandcompany.com/,844-427-3942,customerservice@hardwickclothes.com,wool_apparel,"Since 1880; oldest US tailored clothing maker; 100% wool suits, blazers, tuxedos; 175K sqft facility",Wool apparel; blankets; home goods,Est. 1880; 175K sqft,web,https://hardwickandcompany.com/,Pants from $145; suits/coats from $350
Hart Schaffner Marx,New York,NY,https://hartschaffnermarx.com/,https://hartschaffnermarx.com/,https://hartschaffnermarx.com/,,,wool_apparel,"Since 1887; worsted wool suits made in USA; Chicago/NY/LA fits; Dillard's, Nordstrom, Bloomingdale's; pioneers of modern suiting",Worsted,Est. 1887,web,https://hartschaffnermarx.com/,Suits $716-$895; sport coats $400+
Hertling,Fall River,MA,https://www.hertlingusa.com/,https://www.hertlingusa.com/,https://www.hertlingusa.com/,646-812-3000,justin@hertlingusa.com,wool_apparel,"Since 1925; handcrafted wool trousers, dress pants; originally Brooklyn NY; now Fall River MA; CFDA listed; Super 120s wool",Wool apparel; blankets; home goods,Est. 1925,web,https://www.hertlingusa.com/,Wool trousers $398-$498
FORLOH,Whitefish,MT,https://forloh.com/,https://forloh.com/,https://forloh.com/,833-791-0091,support@forloh.com,wool_apparel,100% USA made; technical merino wool hunting + outdoor apparel; hi-loft wool insulation; first US company to hand-lay merino before quilting; lifetime warranty; since 2020; retail in Whitefish MT + Austin TX,Apparel; Merino,Est. 2020; Whitefish MT + Austin TX,web,https://forloh.com/,Base layers $80-$150; jackets $300-$600
The Checkroom,Chicago,IL,https://www.coatcheckroom.com/,https://www.coatcheckroom.com/,https://www.coatcheckroom.com/,,liz@coatcheckchicago.com,wool_apparel,"American-made wool coats; RWS + NATIVA certified Shaniko wool; scouring SC, woven by American Woolen CT, assembled Chicago; 16.5 micron; made to order 2-3 wk; designer Liz Williams",Scouring; Woolen; Rws,Full USA supply chain; made to order,web,https://www.coatcheckroom.com/,"Coats $425-$1,250; made to order 2-3 wks"
Darn Tough Vermont (Cabot Hosiery Mills),Northfield,VT,https://darntough.com/,https://darntough.com/,https://darntough.com/,877-327-6883,support@darntough.com,wool_manufacturer,Merino wool socks; lifetime guarantee; made in VT; Cabot Hosiery est. 1978; Darn Tough brand since 2004,Socks; Merino,Est. 1978; Northfield VT mill,web,https://darntough.com/,"~$30/pair; hiking, ski, tactical, work styles"
Farm to Feet (Nester Hosiery),Mount Airy,NC,https://www.farmtofeet.com/,https://www.farmtofeet.com/,https://www.farmtofeet.com/,336-789-0026,,wool_manufacturer,"100% American materials; wool processed in SC, spun in NC, knit in Mount Airy; ~200 employees; Bluesign certified; acquired Fox River Mills 2025; US Army contracts",Wool products; apparel; textiles,~200 employees; 100% US supply chain,web,https://www.farmtofeet.com/,$22-$27/pair; lightweight to full cushion
Wigwam Mills,Sheboygan,WI,https://www.wigwam.com/,https://www.wigwam.com/,https://www.wigwam.com/,920-457-5551,support@wigwam.com,wool_manufacturer,Since 1905; American-made wool socks; Sheboygan WI; domestic yarn spinners; AWC certified,Yarn; Socks,Est. 1905; Sheboygan WI factory,web,https://www.wigwam.com/,"$17-$21/pair; hiking, outdoor, everyday"
Cloudline Apparel,Seattle,WA,https://www.cloudlineapparel.com/,https://www.cloudlineapparel.com/,https://www.cloudlineapparel.com/,206-658-3086,,wool_manufacturer,Merino wool hiking socks; knit in Fort Payne AL; lifetime guarantee; carbon-neutral shipping; ultralight to full cushion,Socks; Merino,Knit in Fort Payne AL,web,https://www.cloudlineapparel.com/,~$15-$20/pair; 3-packs available
Hippy Feet,Minneapolis,MN,https://hippyfeet.com/,https://hippyfeet.com/,https://hippyfeet.com/,,,wool_manufacturer,60% Merino wool crew socks; B Corp; 50% profits to homeless orgs; knit in NC; heavy-duty 2x yarn; antimicrobial,Yarn; Socks; Merino,B Corp; knit in NC,web,https://hippyfeet.com/,4-pack $84-$104; ~$21-$26/pair
Smartwool,Steamboat Springs,CO,https://www.smartwool.com/,https://www.smartwool.com/,https://www.smartwool.com/,888-879-9665,customerservice@smartwool.com,wool_manufacturer,Since 1994; performance Merino wool socks + apparel; socks designed/constructed in USA; pioneer of merino sport socks,Apparel; Socks; Merino,Est. 1994; socks made in USA,web,https://www.smartwool.com/,"$21-$30/pair; hiking, ski, run, everyday"
Point6,Steamboat Springs,CO,https://point6.com/,https://point6.com/,https://point6.com/,970-871-1055,,wool_manufacturer,Compact-spun Merino wool socks + base layers; lifetime guarantee; family-owned since 2008; ~16 employees; ultra light to heavy cushion,Socks; Merino,Est. 2008; family-owned,web,https://point6.com/,~$18-$28/pair; 40% off everyday pricing
Maggie's Organics,Ypsilanti,MI,https://maggiesorganics.com/,https://maggiesorganics.com/,https://maggiesorganics.com/,800-609-8593,maggies@organicclothes.com,wool_manufacturer,Organic Merino wool socks; knit in USA since 1992; certified organic; sustainable practices,Socks; Merino,Knitting in USA since 1992,web,https://maggiesorganics.com/,Contact for quote
Fox River (Nester Hosiery),Mount Airy,NC,https://foxsox.com/,https://foxsox.com/,https://foxsox.com/,,,wool_manufacturer,"Founded 1900 Osage IA; acquired by Nester Hosiery 2025; Merino wool hiking, military, work socks; Red Heel socks; made in USA",Socks; Merino,Est. 1900; now Mount Airy NC,web,https://foxsox.com/,"$12-$20/pair; hiking, military, work"
Kentwool,Pickens,SC,https://www.kentwool.com/,https://www.kentwool.com/,https://www.kentwool.com/,,,wool_manufacturer,Since 1843; world's best golf sock; Super Fine Merino; PGA/LPGA Tour; Lifetime Blister-Free Guarantee; made in USA,Merino,Est. 1843; Pickens SC mill,web,https://www.kentwool.com/,Golf socks $20-$22/pair
Faribault Mill,Faribault,MN,https://www.faribaultmill.com/,https://www.faribaultmill.com/,https://www.faribaultmill.com/,507-412-5534,customerservice@faribaultmill.com,wool_apparel,"Since 1865; wool blankets, throws, scarves; made in USA; featured in Vogue, NYT, Gear Patrol; AWC certified",Blankets,Est. 1865; Faribault MN mill,web,https://www.faribaultmill.com/,Throws $169-$245; bed blankets $269+
Chatham Manufacturing Company,Elkin,NC,https://www.chathammfg.com/,https://www.chathammfg.com/,https://www.chathammfg.com/,,,wool_apparel,Since 1877; 100% pure wool heritage blankets; reissued original 1890s patterns; Elkin NC; Blue Stripe $250; Merino/mohair plaids $395; camp blankets $350; all USA-made; free shipping,Mohair; Blankets; Merino,Est. 1877; Elkin NC factory,web,https://www.chathammfg.com/,Blue Stripe $250; plaids $350-$395
Tuscarora Mills,Bedford,PA,https://tuscaroramills.com/,https://tuscaroramills.com/,https://tuscaroramills.com/,814-285-8594,tuscamills@gmail.com,wool_apparel,"Heirloom wool & Supima cotton blankets; vintage Crompton-Knowles shuttle looms; selvedge fabric; American-grown wool; no petroleum synthetics; 'Real American Heirlooms'; showroom Bedford PA, mill Red Lion PA",Blankets; Fabric,Vintage loom manufacturing,web,https://tuscaroramills.com/,Heirloom blankets; contact for pricing
Frankenmuth Woolen Mill,Frankenmuth,MI,https://wool-bedding.com/,https://wool-bedding.com/,https://wool-bedding.com/,888-497-4534,matt@wool-bedding.com,wool_manufacturer,"Since 1894; largest US wool bedding maker; Climate Beneficial Wool; organic cotton cover; hand-knotted batting; pillows, comforters, toppers",Batting,Est. 1894; largest US wool bedding,web,https://wool-bedding.com/,Comforters from $199; sets $350-$385
Swans Island Company,Northport,ME,https://swansislandcompany.com/,https://swansislandcompany.com/,https://swansislandcompany.com/,888-526-9526,info@swansislandcompany.com,wool_apparel,"Handwoven wool blankets, throws; Maine; monogramming, custom design; heirloom quality",Blankets,Handwoven in Maine,web,https://swansislandcompany.com/,Throws $495-$725; limited editions $995
Shepherd's Dream,Ashland,OR,https://shepherdsdream.com/,https://shepherdsdream.com/,https://shepherdsdream.com/,541-708-5540,,wool_manufacturer,"30+ years; all-wool mattresses, toppers, comforters, pillows; handmade in Ashland OR; EcoWool batting; 2-3 wk production",Batting,30+ years; handmade to order,web,https://shepherdsdream.com/,"Mattresses $1,550-$3,100; systems $1,811-$3,613"
Holy Lamb Organics,Oakville,WA,https://www.holylamborganics.com/,https://www.holylamborganics.com/,https://www.holylamborganics.com/,360-819-6047,,wool_manufacturer,"Certified organic wool bedding; mattress toppers, pillows, comforters; handmade in WA",Organic Wool,Handmade in WA,web,https://www.holylamborganics.com/,"Toppers $649-$1,199; pillows from $100+"
Havelock Wool,Reno,NV,https://www.havelockwool.com/,https://www.havelockwool.com/,https://www.havelockwool.com/,775-971-4870,sales@havelockwool.com,wool_manufacturer,"100% sheep wool building insulation; thermal + acoustic; batt, blown-in, van; Lowe's, Home Depot; Reno NV factory; ships from stock",Wool products; apparel; textiles,Reno NV factory; sold at Lowe's + Home Depot,web,https://www.havelockwool.com/,Batts $2.33-$2.44/sqft; loose fill $1.58-$4.18/sqft by R-value
Brooklyn Tweed,Portland,OR,https://brooklyntweed.com/,https://brooklyntweed.com/,https://brooklyntweed.com/,,info@brooklyntweed.com,wool_mill,"Breed-specific American Targhee-Columbia wool yarns; sourced, dyed, spun in USA; woolen + worsted; AWC certified; since 2010",Yarn; Worsted; Woolen,100% USA sourced/spun,web,https://brooklyntweed.com/,"Skeins ~$14-$20 (Shelter 140yd, Loft 275yd)"
Mountain Meadow Wool,Buffalo,WY,https://mountainmeadowwool.com/,https://mountainmeadowwool.com/,https://mountainmeadowwool.com/,307-684-5775,info@mountainmeadowwool.com,wool_mill,"Full-service wool mill; 60,000+ lbs/yr; 23 yarn types; ranch-traceable; custom processing; apparel, throws",Yarn; Apparel,"60,000+ lbs/yr",web,https://mountainmeadowwool.com/,See website
Green Mountain Spinnery,Putney,VT,https://www.spinnery.com/,https://www.spinnery.com/,https://www.spinnery.com/,802-387-4528,spinnery@spinnery.com,wool_mill,Since 1981; Certified Organic wool; vintage equipment; North American fibers only; custom processing min 35 lbs,Organic Wool,Est. 1981; Certified Organic,web,https://www.spinnery.com/,See website
Jagger Spun,Springvale,ME,https://www.jaggeryarn.com/,https://www.jaggeryarn.com/,https://www.jaggeryarn.com/,,,wool_mill,Since 1898; worsted spun yarns; Maine Line 100% wool; Mousam Falls; cones + skeins; wholesale + retail,Yarn; Worsted,Est. 1898; ME mill,web,https://www.jaggeryarn.com/,Skeins $13-$40; Superfine Merino $16/50g
Bellwether Wool Company,Blodgett,OR,https://bellwetherwool.com/,https://bellwetherwool.com/,https://bellwetherwool.com/,,,wool_grower,"Two farms in Oregon coastal foothills; Cormo, Wensleydale, Leicester breeds; roving, yarn, fleece direct",Yarn; Roving; Fleece,Oregon farms,web,https://bellwetherwool.com/,See website
Cactus Hill Farm,La Veta,CO,https://www.cactushillfarm.com/,https://www.cactushillfarm.com/,https://www.cactushillfarm.com/wool,,,wool_grower,"Southern CO; certified organic pastures; Merino, Wensleydale, CVM, BFL, Teeswater; fleeces, roving, yarn, pelts",Yarn; Roving; Fleece; Merino,Certified organic,web,https://www.cactushillfarm.com/,See website
Zeilinger Wool Company,Frankenmuth,MI,https://www.zwool.com/,https://www.zwool.com/,https://www.zwool.com/,989-652-2920,info@zwool.com,wool_mill,"Custom fiber processing; 175,000 lbs raw fiber/yr; wool, alpaca, angora, camel, llama, yak, buffalo; yarn, socks, mattress pads, quilts, blankets; Tue-Fri 9-5",Yarn; Alpaca; Fiber Processing; Blankets; Socks,"175,000 lbs/yr custom processing",Wool and Fiber Arts,https://woolandfiberarts.com/,Custom processing; contact for quote
