name,city,state,url,website,buy_link,phone,email,type,notes,prices,source,source_url
Greenwood Mills,Greenwood,SC,https://greenwoodmills.com/,https://greenwoodmills.com/,https://greenwoodmills.com/,864-229-2571,,us_supplier,"Armed Forces uniforms, industrial; CottonWorks",Contact for quote,CottonWorks,https://cottonworks.com/sourcing/find-us-suppliers/
1888 Mills,Griffin,GA,https://1888mills.com/,https://1888mills.com/,https://1888mills.com/,770-229-2361,b2bsitesupport@1888mills.com,us_supplier,"Terry/toweling, sheeting; CottonWorks weaver",Contact for quote,CottonWorks,https://cottonworks.com/sourcing/find-us-suppliers/
American Merchant,Bristol,VA,https://americanmerchantusa.com/,https://americanmerchantusa.com/,https://americanmerchantusa.com/contact/,,,us_supplier,"Home, Terry; CottonWorks weaver",Contact for quote,CottonWorks,https://cottonworks.com/sourcing/find-us-suppliers/
DNA Technical Fabrics,Columbus,GA,https://dnatechfab.com/,https://dnatechfab.com/,https://www.dnatechfab.com/,706-565-3344,,us_supplier,Technical and industrial; CottonWorks weaver,Contact for quote,CottonWorks,https://cottonworks.com/sourcing/find-us-suppliers/
Family Heir-Loom Weavers,Red Lion,PA,https://familyheirloomweavers.com/,https://familyheirloomweavers.com/,https://www.familyheirloomweavers.com/contact,717-246-2431,info@familyheirloomweavers.com,us_supplier,Home; CottonWorks weaver,Contact for quote,CottonWorks,https://cottonworks.com/sourcing/find-us-suppliers/
Fancy Terry,Inman,SC,https://fancyterry.com/,https://fancyterry.com/,https://fancyterry.com/contact/,864-472-7965,cindy@fancyterryinc.com,us_supplier,"Home, Jacquard, Terry; CottonWorks weaver",Contact for quote,CottonWorks,https://cottonworks.com/sourcing/find-us-suppliers/
Hamrick Mills,Gaffney,SC,https://hamrickmills.com/,https://hamrickmills.com/,https://hamrickmills.com/contact/,800-297-6306,JHopkins@HamrickMills.com,us_supplier,"Apparel, home, industrial; CottonWorks weaver; sales 864-487-6283",Contact for quote,CottonWorks,https://cottonworks.com/sourcing/find-us-suppliers/
HomeTex Incorporated,Cullman,AL,https://homtex.com/,https://homtex.com/,https://www.homtex.com/contact-us.php,256-734-3937,info@homtex.com,us_supplier,"Home, PPE; CottonWorks weaver",Contact for quote,CottonWorks,https://cottonworks.com/sourcing/find-us-suppliers/
Huston Textiles Co.,Mather,CA,https://hustontextile.com/,https://hustontextile.com/,https://hustontextile.com/contact/,916-546-5001,support@hustontextile.com,us_supplier,"Apparel, Denim; CottonWorks weaver",Contact for quote,CottonWorks,https://cottonworks.com/sourcing/find-us-suppliers/
J.B. Martin Company,Leesville,SC,https://jbmartin.com/,https://jbmartin.com/,https://jbmartin.com/about/locations-distribution/,803-532-6277,,us_supplier,"Apparel, Home, Terry, Velvet; CottonWorks weaver",Contact for quote,CottonWorks,https://cottonworks.com/sourcing/find-us-suppliers/
La France Industries,La France,SC,https://lafranceindustries.com/,https://lafrancefabrics.com/,https://lafrancefabrics.com/contact-us/,864-646-4115,,us_supplier,"Industrial, Automotive; CottonWorks weaver",Contact for quote,CottonWorks,https://cottonworks.com/sourcing/find-us-suppliers/
Loom Craft Inc.,Belton,SC,https://loomcraftinc.com/,https://loomcraftinc.com/,https://www.loomcraftinc.com/contact/,864-839-3974,info@weavetec.com,us_supplier,"Home, Jacquard, Terry; CottonWorks weaver; Weavetec product line",Contact for quote,CottonWorks,https://cottonworks.com/sourcing/find-us-suppliers/
Mount Vernon Mills,Mauldin,SC,https://mvmills.com/,https://mvmills.com/,https://www.mvmills.com/contact-us/,864-688-7100,,us_supplier,"Apparel, Denim, Industrial; CottonWorks weaver",Contact for quote,CottonWorks,https://cottonworks.com/sourcing/find-us-suppliers/
Sattler Corp,Hudson,NC,https://usa.sattler.com/,https://usa.sattler.com/,https://usa.sattler.com/home,828-759-2105,,us_supplier,"Home (Outdoor), Marine, Jacquard; CottonWorks weaver; Outdura brand",Contact for quote,CottonWorks,https://cottonworks.com/sourcing/find-us-suppliers/
SSM Industries,Spring City,TN,https://ssmind.com/,https://ssmind.com/,https://ssmind.com/,423-365-4048,,us_supplier,"Apparel, Uniforms; CottonWorks weaver",Contact for quote,CottonWorks,https://cottonworks.com/sourcing/find-us-suppliers/
Swavelle Mill Creek,New York,NY,https://swavelle.com/,https://swavelle.com/,https://www.swavelle.com/contact-us/,800-544-0478,customerservice@swavelle.com,us_supplier,"Home, Terry, Velvet; CottonWorks weaver",Contact for quote,CottonWorks,https://cottonworks.com/sourcing/find-us-suppliers/
"Valdese Weavers, LLC",Valdese,NC,https://valdeseweavers.com/,https://valdeseweavers.com/,https://www.valdeseweavers.com/contact-us/,828-874-2181,info@valdeseweavers.com,us_supplier,"Home, Jacquard, Healthcare; CottonWorks weaver",Contact for quote,CottonWorks,https://cottonworks.com/sourcing/find-us-suppliers/
"Weavetec, Inc.",Blacksburg,SC,https://weavetec.com/,https://weavetec.com/,https://www.weavetec.com/contact-us/,864-839-3974,info@weavetec.com,us_supplier,"Home, Jacquard, Specialty, Industrial; CottonWorks weaver",Contact for quote,CottonWorks,https://cottonworks.com/sourcing/find-us-suppliers/
Tuscarora Mills,Bedford,PA,https://tuscaroramills.com/,https://tuscaroramills.com/,https://tuscaroramills.com/contact-us/,814-285-8594,tuscamills@gmail.com,mill,"USDA organic cotton fabrics; basketweave, dimity, twill, selvedge denim; established 2020",See website,web,https://tuscaroramills.com/
Spiritex,Asheville,NC,https://fabric.spiritex.net/,https://fabric.spiritex.net/,https://wholesale.spiritex.net/,,sales@spiritex.net,mill,"100% USA-grown organic cotton; spun, knit, finished domestically; interlock, fleece, jersey, French terry",See website,web,https://fabric.spiritex.net/
Koshtex,Los Angeles,CA,https://www.koshtex.com/,https://www.koshtex.com/,https://www.koshtex.com/,,koshtexinc@gmail.com,mill,Cotton jersey knit milled in USA; wholesale fabric,See website,web,https://www.koshtex.com/
Delta Apparel,Duluth,GA,https://www.deltaapparelinc.com/,https://www.deltaapparelinc.com/,https://www.deltaapparelinc.com/contact,864-232-5200,,apparel_manufacturer,"100% US cotton lines; Delta Ring-Spun, Delta Soft; USA facilities in NC; CottonWorks knitter",Contact for quote,CottonWorks,https://cottonworks.com/sourcing/find-us-suppliers/
Beverly Knits,Gastonia,NC,https://www.beverlyknits.com/,https://www.beverlyknits.com/,https://www.beverlyknits.com/contact,704-861-1536,info@beverlyknits.com,apparel_manufacturer,"Largest US circular knitter; cotton & synthetic; 450K sq ft; apparel, bedding, industrial; CottonWorks",Contact for quote,CottonWorks,https://cottonworks.com/sourcing/find-us-suppliers/
Stitch K,Los Angeles,CA,https://www.stitchk.com/,https://www.stitchk.com/,https://www.stitchk.com/,323-325-7568,,cut_and_sew,"Knits, Apparel; Cotton Inc cut & sew",Contact for quote,Cotton Incorporated,https://www.cottoninc.com/quality-products/textile-sourcing/cut-and-sew/
First Avenue Manufacturing,Thomson,GA,https://www.usa-linens.com/,https://www.usa-linens.com/,https://www.usa-linens.com/,678-392-1432,,cut_and_sew,"Home, Hospital; bed linens, custom sizes; Cotton Inc cut & sew",Contact for quote,Cotton Incorporated,https://www.cottoninc.com/quality-products/textile-sourcing/cut-and-sew/
Topps Safety Apparel Inc,Rochester,IN,https://www.toppssafetyapparel.com/,https://www.toppssafetyapparel.com/,https://www.toppssafetyapparel.com/,574-223-4311,,cut_and_sew,"Wovens, Denim, Apparel, Uniforms; Cotton Inc cut & sew",Contact for quote,Cotton Incorporated,https://www.cottoninc.com/quality-products/textile-sourcing/cut-and-sew/
JOMEL Seams Reasonable,Hillside,NJ,https://jomel.net/,https://jomel.net/,https://jomel.net/,973-282-0300,,cut_and_sew,"Apparel, Home, PPE, Uniforms, Military, Hospital; KY & NJ facilities; Cotton Inc cut & sew",Contact for quote,Cotton Incorporated,https://www.cottoninc.com/quality-products/textile-sourcing/cut-and-sew/
Fire-Dex,Medina,OH,https://www.firedex.com/,https://www.firedex.com/,https://www.firedex.com/,330-723-0000,,cut_and_sew,"Wovens, Denim, CMT, Apparel, Uniforms; fire/rescue gear; Cotton Inc cut & sew",Contact for quote,Cotton Incorporated,https://www.cottoninc.com/quality-products/textile-sourcing/cut-and-sew/
Excel Manufacturing,El Paso,TX,https://www.excelmfg.net/,https://www.excelmfg.net/,https://www.excelmfg.net/,915-544-0126,,cut_and_sew,"Wovens, Denim, Apparel, Uniforms; dyehouse, washhouse; Cotton Inc cut & sew",Contact for quote,Cotton Incorporated,https://www.cottoninc.com/quality-products/textile-sourcing/cut-and-sew/
Sarah Lynn Sportswear Inc,Allentown,PA,https://www.slsportswear.com/,https://www.slsportswear.com/,https://www.slsportswear.com/,610-770-1702,,cut_and_sew,"Knits, CMT, Apparel, Uniforms; Cotton Inc cut & sew",Contact for quote,Cotton Incorporated,https://www.cottoninc.com/quality-products/textile-sourcing/cut-and-sew/
Monalisa Manufacturing,Allentown,PA,https://www.monalisamfg.com/,https://www.monalisamfg.com/,https://www.monalisamfg.com/,610-770-0806,,cut_and_sew,"Knits, Wovens, Apparel; Cotton Inc cut & sew",Contact for quote,Cotton Incorporated,https://www.cottoninc.com/quality-products/textile-sourcing/cut-and-sew/
Lebanon Apparel Corporation (LA CORP),Lebanon,VA,https://www.lacorpusa.com/,https://www.lacorpusa.com/,https://www.lacorpusa.com/,276-889-3656,,cut_and_sew,"Knits, Wovens, Denim, Apparel, Home, Uniforms; Cotton Inc cut & sew",Contact for quote,Cotton Incorporated,https://www.cottoninc.com/quality-products/textile-sourcing/cut-and-sew/
Topwin Corporation (Global Point GPI),Torrance,CA,https://topwin.com/,https://topwin.com/,https://topwin.com/,310-325-2255,,cut_and_sew,"Knits, Wovens, CMT; Cotton Inc cut & sew",Contact for quote,Cotton Incorporated,https://www.cottoninc.com/quality-products/textile-sourcing/cut-and-sew/
American Giant,San Francisco,CA,https://www.american-giant.com/,https://www.american-giant.com/,https://www.american-giant.com/collections/cotton,415-529-2429,service@american-giant.com,cut_and_sew,"USA cotton hoodies, tees, activewear; cotton grown near NC facility; DTC brand",See website,web,https://www.american-giant.com/pages/usa-cotton
US Blanks,Gardena,CA,https://usblanks.net/,https://usblanks.net/,https://usblanks.net/pages/wholesale-application,310-225-6774,info@usblanks.com,cut_and_sew,100% USA-made; fabric at partner mill + in-house cut/sew; cotton & blends; wholesale; FL 321-253-3626,Wholesale; apply for account,web,https://usblanks.net/
Cut and Sew Co,Santa Ana,CA,https://cutandsewco.com/,https://cutandsewco.com/,https://cutandsewco.com/our-services/,714-981-7244,info@cutandsewco.com,cut_and_sew,"Design, fabric sourcing, cut/sew, QC; startups to multinationals; can source USA cotton",Contact for quote,web,https://cutandsewco.com/
Seam Apparel,Charlotte,NC,https://seamapparel.com/,https://seamapparel.com/,https://seamapparel.com/contact-us/,323-925-2859,sales@seamapparel.com,cut_and_sew,"Cut & sew; small-batch to scale; pattern, sample, production; Charlotte & LA",Contact for quote,web,https://seamapparel.com/
Apparel USA Inc,Fairmont,NC,https://apparelusa.co/,https://apparelusa.co/,https://apparelusa.co/,,,cut_and_sew,"Men's dress/sport shirts; cotton oxford, twill, poplin, flannel; pattern, embroidery, wash; 3-wk turnaround",Contact for quote,web,https://apparelusa.co/
