name,city,state,phone,email,url,website,buy_link,type,notes,source,source_url,prices,products
Carolina Mills,Maiden,NC,,,https://www.carolinamills.com/,https://www.carolinamills.com/,https://www.carolinamills.com/,wool_mill,Since 1928; specialty spun yarns; wool + synthetic,web,https://www.carolinamills.com/,Contact for quote,Wool yarn; roving; batting; scoured wool
Pendleton Woolen Mills,Portland,OR,,,https://www.pendleton-usa.com/,https://www.pendleton-usa.com/,https://www.pendleton-usa.com/,wool_apparel,"Since 1863; Oregon + Washougal mills; blankets, apparel",web,https://www.pendleton-usa.com/,Contact for quote,Wool apparel; blankets; home goods
Columbia Wool Scouring Mill,Portland,OR,,,https://www.pendleton-usa.com/,https://www.pendleton-usa.com/,https://www.pendleton-usa.com/,wool_processor,Pendleton; wool scouring,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Scouring; carding; spinning; dyeing; felting
American Sheep Industry Association (ASI),Englewood,CO,303-771-3500,,https://www.sheepusa.org/,https://www.sheepusa.org/,https://www.sheepusa.org/,association,"Wool & pelt contacts; shearers, buyers, mills, warehouses",ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Industry directory; referrals
American Wool,,,,,https://www.americanwool.org/,https://www.americanwool.org/,https://www.americanwool.org/,association,Finished products featuring American wool,ASI,https://www.americanwool.org/,Contact for quote,Industry directory; referrals
National Mill Inventory,,,,,https://nationalmillinventory.com/,https://nationalmillinventory.com/,https://nationalmillinventory.com/,association,"Fibershed; fiber mills by location, fiber type, services",web,https://nationalmillinventory.com/,Contact for quote,Industry directory; referrals
Wool and Fiber Arts,,,,,https://woolandfiberarts.com/pages/us-mill-directory,https://woolandfiberarts.com/pages/us-mill-directory,https://woolandfiberarts.com/pages/us-mill-directory,association,US Mill Directory by state,web,https://woolandfiberarts.com/pages/us-mill-directory,Contact for quote,Industry directory; referrals
"For finished products featuring American wool, please visit www.AmericanWool.org",,,,,http://www.AmericanWool.org,http://www.AmericanWool.org,http://www.AmericanWool.org,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Small & midsize mills
Morro Fleece Works,Main StreetMORRO BAY,CA,805-772-9665,,http://www.morrofleeceworks.com,http://www.morrofleeceworks.com,http://www.morrofleeceworks.com,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Scouring; Carding; Yarn; Roving; Batting; Felting; Dyeing
Valley Oak Wool Mill,,CA,530-312-0494,,http://www.valleyoakwoolmill.com,http://www.valleyoakwoolmill.com,http://www.valleyoakwoolmill.com,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Scouring; Carding; Spinning; Yarn; Roving; Batting
The Fleece Factory of the Rockies,LaSalle,CO,970-284-7711,,http://www.thefleecefactoryoftherockies.com,http://www.thefleecefactoryoftherockies.com,http://www.thefleecefactoryoftherockies.com,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Scouring; Carding; Spinning; Yarn; Roving; Batting; Felting; Combing
Willow Creek Fiber Mill,Hudson,CO,970-586-3478,,http://www.willowcreekfibermill.co,http://www.willowcreekfibermill.co,http://www.willowcreekfibermill.co,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Scouring; Carding; Spinning; Yarn; Roving; Batting
Six Paca Farm & Mill,Stockhouse Rd.Bozrah,CT,860-204-0386,,http://www.sixpaca.com,http://www.sixpaca.com,http://www.sixpaca.com,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Scouring; Carding; Spinning; Roving
Twist of Fate Spinnery,Yount StreetEast Hampton,CT,860-759-9334,,http://www.twistoffatefiber.com,http://www.twistoffatefiber.com,http://www.twistoffatefiber.com,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Scouring; Carding; Spinning; Yarn; Roving; Batting; Felting
Spirit Fiber Works,TURNER RDCleveland,GA,706-809-8729,,http://www.spiritfiberworks.com,http://www.spiritfiberworks.com,http://www.spiritfiberworks.com,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Scouring; Carding; Roving; Batting; Dyeing
Ohana Fiber Mill,a,HI,808-464-9316,,http://www.ilwoolfibermill.com,http://www.ilwoolfibermill.com,http://www.ilwoolfibermill.com,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Scouring; Carding; Spinning; Yarn; Roving; Felting; Dyeing; Weaving
Illinois Wool & Fiber Mill,Caledonia Rd.Belvidere,IL,815-544-9582,,http://www.ilwoolfibermill.com,http://www.ilwoolfibermill.com,http://www.ilwoolfibermill.com,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Scouring; Carding; Spinning; Yarn; Roving; Batting; Dyeing
Red Hill Fiber Mill,N Red Hill RdTaswell,IN,812-788-2438,,http://www.redhillfiber.com,http://www.redhillfiber.com,http://www.redhillfiber.com,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Scouring; Carding; Yarn; Roving; Batting; Dyeing; Combing
Three Points Fiber Mill,E Hoff RdSunman,IN,812-363-3876,,https://threepointsfibermill.com,https://threepointsfibermill.com,https://threepointsfibermill.com,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Scouring; Carding; Spinning; Yarn; Roving; Batting; Felting; Dyeing
C&M Acres Fiber Mill,,IA,515-387-8607,,http://www.cmacres.com,http://www.cmacres.com,http://www.cmacres.com,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Scouring; Carding; Spinning; Yarn; Roving; Batting; Felting; Dyeing
Twisted Sunset Sisters Fiber Mill,,IA,515-207-2524,,http://www.twistedsunsetsisters.com/,http://www.twistedsunsetsisters.com/,http://www.twistedsunsetsisters.com/,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Scouring; Carding; Spinning; Dyeing; Weaving
Tallgrass Woolery,,KS,785-289-6636,,http://www.bartlettyarns.com,http://www.bartlettyarns.com,http://www.bartlettyarns.com,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Scouring; Carding; Roving; Batting
"Bartlettyarns, Inc",Water StreetHarmony,ME,207-683-2251,,http://www.bartlettyarns.com,http://www.bartlettyarns.com,http://www.bartlettyarns.com,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Scouring; Carding; Spinning; Yarn; Roving; Weaving
"Catawampus Farm, LLC",,ME,207-786-2158,,http://www.catawampusfarm.com,http://www.catawampusfarm.com,http://www.catawampusfarm.com,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Scouring; Carding; Yarn; Roving; Batting
Moorit Hill Farm & Fiber,Detroit RdTroy,ME,207-402-2549,,http://www.moorithillfarm.com,http://www.moorithillfarm.com,http://www.moorithillfarm.com,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Scouring; Carding; Spinning; Yarn
Underhill Fibers,Wilson RdGorham,ME,207-756-0076,,http://www.underhillfibers.com,http://www.underhillfibers.com,http://www.underhillfibers.com,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Scouring; Carding; Spinning; Yarn; Roving
Twisted Fiber Spinnery LLC,Gardner,MA,978-939-8949,,http://www.twistedfiberspinnery.com,http://www.twistedfiberspinnery.com,http://www.twistedfiberspinnery.com,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Scouring; Carding; Spinning; Yarn; Roving; Combing
Frankenmuth Woolen Mill,S. Main StreetFrankenmuth,MI,989-652-6050,,http://www.wool-bedding.com,http://www.wool-bedding.com,http://www.wool-bedding.com,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Scouring; Carding; Roving; Batting
Grand Alpaca Company Farm & Fiber Mill,W Winston RdMontague,MI,616-784-7765,,http://www.grandalpaca.com,http://www.grandalpaca.com,http://www.grandalpaca.com,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Scouring; Carding; Spinning; Felting
Hoof-to-Hanger,Lake StreetBridgman,MI,269-465-5936,,http://www.hooftohanger.com,http://www.hooftohanger.com,http://www.hooftohanger.com,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Scouring; Carding; Spinning; Yarn; Roving; Batting; Dyeing
Get Bentz Farm and Woolen Mill,Northfield BlvdNorthfield,MN,651-271-5142,,http://www.getbentzfarm.com,http://www.getbentzfarm.com,http://www.getbentzfarm.com,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Scouring; Carding; Spinning; Yarn; Roving; Batting; Felting
Ranch-Al-Paca Fiber Processing,Goodwin AveHastings,MN,651-485-7916,,http://www.rachalpacafiber.com,http://www.rachalpacafiber.com,http://www.rachalpacafiber.com,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Scouring; Carding; Spinning; Yarn; Roving; Weaving
"The Fiber Mill, LLC",rd StStromsburg,NE,402-405-1971,,http://www.thefibermill.com,http://www.thefibermill.com,http://www.thefibermill.com,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Scouring; Carding; Spinning; Yarn; Roving; Batting; Felting; Dyeing
"Bartlett Fiber Washing, LLC",Barrington,NH,207-683-2251,,http://www.bartlettyarns.com,http://www.bartlettyarns.com,http://www.bartlettyarns.com,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Scouring; Yarn
"Sallie’s Fen Fibers, LLC",Swain RoadBarrington,NH,603-664-5237,,http://www.krpelletco.com,http://www.krpelletco.com,http://www.krpelletco.com,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Scouring; Carding; Spinning
Battenkill Fibers Carding & Spinning Mill,Greenwich,NY,518-692-2700,,http://www.battenkillfibers.com,http://www.battenkillfibers.com,http://www.battenkillfibers.com,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Scouring; Carding; Spinning; Yarn; Roving; Dyeing
Clean Fleece NY (Hudson Valley Textile Project),Mechanicville,NY,518-400-2209,,http://www.cleanfleece.com,http://www.cleanfleece.com,http://www.cleanfleece.com,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Scouring
Yarn Factory,Unit FColfax,ND,701-491-9297,,http://www.yarnfactoryllc.com,http://www.yarnfactoryllc.com,http://www.yarnfactoryllc.com,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Scouring; Carding; Spinning; Yarn; Roving; Batting; Dyeing
Ohio Valley Farm and Fiber Mill,Peebles,OH,937-446-3045,,http://www.ovffm.com,http://www.ovffm.com,http://www.ovffm.com,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Scouring; Carding; Yarn; Roving; Felting; Dyeing; Weaving
Oklahoma Mini Mill,suite FGuthrie,OK,405-260-2705,,http://www.oklahomaminimill.com,http://www.oklahomaminimill.com,http://www.oklahomaminimill.com,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Scouring; Carding; Yarn; Roving; Felting
Rodger Family Farm & Fiber Mill LLC,OLD SANTIAM HWYLebanon,OR,541-609-0526,,http://www.rodgerfamilyfarm.com,http://www.rodgerfamilyfarm.com,http://www.rodgerfamilyfarm.com,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Scouring; Carding; Yarn; Roving
Blue Mountain Farms,Lesentier LnHarrisburg,PA,717-599-7665,,http://www.bluemountainfarms.net,http://www.bluemountainfarms.net,http://www.bluemountainfarms.net,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Scouring; Carding; Spinning; Yarn; Roving; Batting; Felting; Dyeing
One Another Fiber Mill,Laura FitzmorrisTobyhanna,PA,570-972-3033,,http://www.sterlingwoolmill.com,http://www.sterlingwoolmill.com,http://www.sterlingwoolmill.com,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Scouring; Carding
Sterling Wool Mill,Byerland Church RoadWillow Street,PA,717-371-4195,,http://www.sterlingwoolmill.com,http://www.sterlingwoolmill.com,http://www.sterlingwoolmill.com,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Scouring; Carding; Spinning; Yarn; Roving; Batting; Felting; Dyeing
"J&E Homestead, LLC",Flat Creek RoadHeath Springs,SC,803-627-7850,,http://www.je-homestead.com,http://www.je-homestead.com,http://www.je-homestead.com,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Scouring; Carding; Spinning; Yarn; Roving; Felting
Foster Creek Fiber Mill,AveDoland,SD,605-460-2405,,http://www.fostercreekfibermill.com,http://www.fostercreekfibermill.com,http://www.fostercreekfibermill.com,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Scouring; Carding; Spinning; Roving; Batting; Felting
Maker’s Way Fiber Mill,E Sunset CircleBrandon,SD,605-215-8017,,http://www.makerswayfibermill.com,http://www.makerswayfibermill.com,http://www.makerswayfibermill.com,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Scouring; Carding; Spinning; Yarn; Roving; Felting; Dyeing
Mesa Trail Alpacas,A SJacks Creek,TN,262-720-4314,,http://Www.mesatrailalpacas.com,http://Www.mesatrailalpacas.com,http://Www.mesatrailalpacas.com,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Scouring; Carding; Spinning; Felting
Marlin Farms Fiber Mill,,TX,210-422-0619,,http://www.marlinfarmsfiber.com,http://www.marlinfarmsfiber.com,http://www.marlinfarmsfiber.com,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Scouring; Carding; Roving
Winterstrom Ranch,,TX,209-628-5426,,http://www.winterstromranch.com,http://www.winterstromranch.com,http://www.winterstromranch.com,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Scouring; Carding; Spinning; Yarn; Roving; Batting; Felting; Dyeing
Wild Red Clover Ranch & Fiber MIll,NorthKoosharem,UT,435-287-4446,,http://www.wildredclover.com/,http://www.wildredclover.com/,http://www.wildredclover.com/,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Scouring; Carding; Spinning; Yarn; Roving; Batting; Felting
Green Mountain Spinnery,Brickyard LanePutney,VT,800-321-9665,,http://www.spinnery.com,http://www.spinnery.com,http://www.spinnery.com,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Scouring; Carding; Spinning; Yarn; Roving
Kingdom Fleece and Fiberworks,,VT,802-274-5666,,http://www.kingdomfleeceandfiberworks.net,http://www.kingdomfleeceandfiberworks.net,http://www.kingdomfleeceandfiberworks.net,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Scouring; Carding; Spinning; Yarn; Roving; Batting; Dyeing; Weaving
Central Virginia Fiber Mill,,VA,434-985-3669,,http://www.Centralvirginiafibermill.com,http://www.Centralvirginiafibermill.com,http://www.Centralvirginiafibermill.com,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Scouring; Carding; Spinning; Roving; Batting; Felting; Dyeing
"Shenandoah Fiber Co., LLC",Old Chapel RoadFairfield,VA,703-608-1177,,http://www.shenandoahfiber.com,http://www.shenandoahfiber.com,http://www.shenandoahfiber.com,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Scouring; Carding; Spinning; Yarn; Felting
Abundant Earth Fiber,Central Ave.Clinton,WA,360-969-2187,,http://www.AbundantEarthFiber.com,http://www.AbundantEarthFiber.com,http://www.AbundantEarthFiber.com,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Scouring; Carding; Spinning; Yarn; Roving
Dawns Custom Carding,Morris Rd SEYelm,WA,253-208-2474,,http://www.dawns-custom-carding.com,http://www.dawns-custom-carding.com,http://www.dawns-custom-carding.com,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Scouring; Carding; Yarn; Roving; Batting; Felting; Dyeing
Evergreen Fleece Processing,TH AVE SEWOODINVILLE,WA,425-248-8967,,http://www.evergreenfleeceprocessing.com,http://www.evergreenfleeceprocessing.com,http://www.evergreenfleeceprocessing.com,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Scouring; Carding; Roving; Batting; Felting; Dyeing
"Skagit Woolen Works, LLC",Suite bMount Vernon,WA,360-200-8835,,http://www.skagitwoolen.com,http://www.skagitwoolen.com,http://www.skagitwoolen.com,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Scouring; Carding; Yarn; Roving; Batting; Felting; Dyeing
Olympic Yarn & Fiber,st StreetCosmopolis,WA,360-591-4396,,http://www.olympicyarnandfiber.com,http://www.olympicyarnandfiber.com,http://www.olympicyarnandfiber.com,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Scouring; Carding; Spinning; Yarn; Dyeing
Soundview Fiber Mill,W Railroad AveShelton,WA,425-214-2425,,http://www.soundviewfibermill.com,http://www.soundviewfibermill.com,http://www.soundviewfibermill.com,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Scouring; Carding; Spinning; Yarn
Head Spring Fiber Mill,Leetown RdSummit Point,WV,703-999-3363,,http://www.headspringfibermill.com,http://www.headspringfibermill.com,http://www.headspringfibermill.com,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Scouring; Carding; Spinning; Yarn; Roving; Batting; Dyeing
"Blackberry Ridge Woolen Mill, LLC",Forshaug RoadMount Horeb,WI,608-437-3762,,http://www.blackberry-ridge.com,http://www.blackberry-ridge.com,http://www.blackberry-ridge.com,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Scouring; Carding; Spinning; Yarn; Roving; Dyeing
Ewetopia Fiber Mill,West Main StLa Farge,WI,608-625-2060,,http://www.ewetopiafibershop.com/fiber-mill,http://www.ewetopiafibershop.com/fiber-mill,http://www.ewetopiafibershop.com/fiber-mill,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Scouring; Carding; Spinning; Yarn; Roving; Batting; Dyeing
Mountain Meadow Wool,Plains Dr.Buffalo,WY,307-684-5775,,http://www.morrofleeceworks.com,http://www.morrofleeceworks.com,http://www.morrofleeceworks.com,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Scouring; Carding; Spinning; Yarn; Roving; Dyeing; Combing
Yampa Valley Fiberworks,Craig,CO,970-824-9568,,http://www.yampavalleyfiberworks.com,http://www.yampavalleyfiberworks.com,http://www.yampavalleyfiberworks.com,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Carding; Spinning; Yarn; Roving
R&K’s Mill,TH AVEHedrick,IA,319-560-8924,,http://www.twistedsunsetsisters.com/,http://www.twistedsunsetsisters.com/,http://www.twistedsunsetsisters.com/,wool_mill,ASI: Small & midsize mills,ASI,https://www.sheepusa.org/contacts/wool-pelt,Contact for quote,Carding; Spinning; Felting
