name,city,state,url,website,buy_link,phone,email,type,notes,products,source,source_url,prices
Cargill Cotton,Memphis,TN,https://www.cargill.com/agriculture/cotton,https://www.cargill.com/agriculture/cotton,https://www.cargill.com/agriculture/cotton/location-contact-us,901-454-7851,,merchant,"Global cotton; Memphis, Liverpool",Yarn; Textile; Custom; Cotton; Sustainable; The Most Reliable Supply And Delivery Of Product To The World’S Textile Markets,ACSA,https://acsa-cotton.org/our-members,Contact for quote
COFCO Americas Resources Corp,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,merchant,ACSA merchant; contact via ACSA,,ACSA,https://acsa-cotton.org/our-members,Contact for quote
Colly Commodities Inc,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,merchant,ACSA merchant; contact via ACSA,,ACSA,https://acsa-cotton.org/our-members,Contact for quote
Commonwealth Gin,Windsor,VA,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,merchant,ACSA; gin & merchant; Virginia cotton; contact via ACSA,,ACSA,https://acsa-cotton.org/our-members,Contact for quote
DECA Global LLC,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,merchant,ACSA merchant; contact via ACSA,,ACSA,https://acsa-cotton.org/our-members,Contact for quote
ECOM USA LLC,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,merchant,ACSA merchant; contact via ACSA,,ACSA,https://acsa-cotton.org/our-members,Contact for quote
ED & F Man Cotton LLC,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,merchant,ACSA merchant; contact via ACSA,,ACSA,https://acsa-cotton.org/our-members,Contact for quote
Farmcot,New York,NY,https://www.farmcotinc.com/,https://www.farmcotinc.com/,https://www.farmcotinc.com/contact,,,merchant,US cotton; sources from American farmers; contact form on website,Fabric; Yarn; Cotton,web,https://www.farmcotinc.com/,Contact for quote
Goetz & Sons Inc,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,merchant,ACSA merchant; contact via ACSA,,ACSA,https://acsa-cotton.org/our-members,Contact for quote
Hang Tung Resources (USA) Co Ltd,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,merchant,ACSA merchant; contact via ACSA,,ACSA,https://acsa-cotton.org/our-members,Contact for quote
Jess Smith & Sons Cotton Inc,Bakersfield,CA,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,merchant,ACSA; WCSA; California cotton; contact via ACSA,,ACSA,https://acsa-cotton.org/our-members,Contact for quote
Louis Dreyfus Company,Memphis,TN,https://www.ldc.com/us/en/who-we-are/business-lines/cotton/,https://www.ldc.com/,https://www.ldc.com/us/en/our-facilities/west-memphis-ar/contact-us-west-memphis-ar/,901-383-5000,datateam@ldc.com,merchant,ACSA merchant; global commodities; Cordova TN office,,ACSA,https://acsa-cotton.org/our-members,Contact for quote
Lyons Cotton Inc,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,merchant,ACSA merchant; contact via ACSA,,ACSA,https://acsa-cotton.org/our-members,Contact for quote
MemTex Cotton Marketing LLC,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,merchant,ACSA merchant; contact via ACSA,,ACSA,https://acsa-cotton.org/our-members,Contact for quote
Olam Agri Americas Inc,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,merchant,ACSA merchant; contact via ACSA,,ACSA,https://acsa-cotton.org/our-members,Contact for quote
Old Blue Cotton Company Inc,Bakersfield,CA,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,merchant,ACSA; WCSA; California cotton; contact via ACSA,,ACSA,https://acsa-cotton.org/our-members,Contact for quote
Omnicotton Inc,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,merchant,ACSA merchant; contact via ACSA,,ACSA,https://acsa-cotton.org/our-members,Contact for quote
Terra Nova Commodities LLC,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,merchant,ACSA merchant; contact via ACSA,,ACSA,https://acsa-cotton.org/our-members,Contact for quote
Toyo Cotton Company,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,merchant,ACSA merchant; contact via ACSA,,ACSA,https://acsa-cotton.org/our-members,Contact for quote
Toyoshima International America Inc,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,merchant,ACSA merchant; contact via ACSA,,ACSA,https://acsa-cotton.org/our-members,Contact for quote
UNIPET Inc,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,merchant,ACSA merchant; contact via ACSA,,ACSA,https://acsa-cotton.org/our-members,Contact for quote
Walcot Trading Company LLC,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,merchant,ACSA merchant; contact via ACSA,,ACSA,https://acsa-cotton.org/our-members,Contact for quote
White Gold Cotton Marketing LLC,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,merchant,ACSA merchant; contact via ACSA,,ACSA,https://acsa-cotton.org/our-members,Contact for quote
W D Felder & Company,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,merchant,ACSA merchant; contact via ACSA,,ACSA,https://acsa-cotton.org/our-members,Contact for quote
Choice Cotton Company Inc,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,primary_buyer,ACSA; mill service; contact via ACSA,,ACSA,https://acsa-cotton.org/our-members,Contact for quote
East Cotton Company,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,primary_buyer,ACSA; mill service; contact via ACSA,,ACSA,https://acsa-cotton.org/our-members,Contact for quote
Globalexim LLC,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,primary_buyer,ACSA; mill service; contact via ACSA,,ACSA,https://acsa-cotton.org/our-members,Contact for quote
Indigo Ag,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,primary_buyer,ACSA; ag tech; contact via ACSA,,ACSA,https://acsa-cotton.org/our-members,Contact for quote
J G Boswell Company,Corcoran,CA,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,primary_buyer,ACSA; WCSA; California grower/processor; contact via ACSA,,ACSA,https://acsa-cotton.org/our-members,Contact for quote
Jabbour Cotton Company LLC,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,primary_buyer,ACSA; mill service; contact via ACSA,,ACSA,https://acsa-cotton.org/our-members,Contact for quote
Loeb and Company Inc,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,primary_buyer,ACSA; mill service; contact via ACSA,,ACSA,https://acsa-cotton.org/our-members,Contact for quote
McMeekin Cotton LLC,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,primary_buyer,ACSA; mill service; contact via ACSA,,ACSA,https://acsa-cotton.org/our-members,Contact for quote
New Hope AgriServices LLC,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,primary_buyer,ACSA; mill service; contact via ACSA,,ACSA,https://acsa-cotton.org/our-members,Contact for quote
Nunn Cotton Company Inc,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,primary_buyer,ACSA; mill service; contact via ACSA,,ACSA,https://acsa-cotton.org/our-members,Contact for quote
Plainsman Cotton Company,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,primary_buyer,ACSA; mill service; contact via ACSA,,ACSA,https://acsa-cotton.org/our-members,Contact for quote
Wildwood Cotton Technologies,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,primary_buyer,ACSA; mill service; contact via ACSA,,ACSA,https://acsa-cotton.org/our-members,Contact for quote
Bridgeforth Cotton,Tanner,AL,https://www.bridgeforthcotton.net/,https://www.bridgeforthcotton.net/,https://www.bridgeforthcotton.net/,,,direct_sale,"Bridgeforth Farms; sheets, towels, apparel; Target, Victoria's Secret partner",Apparel; Garments; Workwear; Cotton,web,https://www.bridgeforthcotton.net/,See website
Magnolia Loom,Sandersville,GA,https://www.magnolialoom.com/,https://www.magnolialoom.com/,https://www.magnolialoom.com/,,,direct_sale,T-shirts; contracts GA growers $1/lb; QR traces to farm; 100% USA; shop online,"Apparel; Garments; T-Shirts; Yarn; Cut And Sew; Custom; Dyeing; Cotton; Is Grown, Manufactured, And Printed By Family-Run, Small Businesses In Georgia & North Carolina",web,https://www.magnolialoom.com/,See website
HomeGrown Cotton,Memphis,TN,https://homegrowncotton.us/,https://homegrowncotton.us/,https://homegrowncotton.us/contact-us,,NAsales@himatsingka.com,direct_sale,"50 family farms; sheets, towels, denim; SigNature T® verification",Denim; Fabric; Custom; Towels; Cotton,web,https://homegrowncotton.us/,See website
Harvest & Mill,Los Angeles,CA,https://harvestandmill.com/,https://harvestandmill.com/,https://harvestandmill.com/,,hello@harvestandmill.com,direct_sale,Organic cotton; grown & sewn USA; farm traceability,Clothing; Fabric; Athletic; Jersey; Fleece; Cotton; Organic Cotton; Sustainable,web,https://harvestandmill.com/,See website
grown&sewn,New York,NY,https://www.grownandsewn.com/,https://www.grownandsewn.com/,https://www.grownandsewn.com/,917-686-2964,info@grownandsewn.com,direct_sale,Made in USA cotton; traceable supply chain,Garments; T-Shirts; Knits; Woven; Fabric; Cut And Sew; Wholesale; Terry; Jersey; Cotton; Sustainable,web,https://www.grownandsewn.com/,See website
Imogene + Willie (The Cotton Project),Nashville,TN,https://www.imogeneandwillie.com/,https://www.imogeneandwillie.com/,https://imogeneandwillie.com/pages/contact,615-292-5005,,direct_sale,Traceable t-shirt; Larkin Martin AL + Hill Spinning NC; ~400 mi supply chain,T-Shirts; Tees; Denim; Jeans; Knits; Fabric; Cotton,web,https://www.imogeneandwillie.com/,See website
Shuford Yarns LLC,Hickory,NC,https://www.shufordyarns.com/,https://www.shufordyarns.com/,https://www.shufordyarns.com/contact-us/,828-324-4265,info@shufordyarns.com,mill,Cotton & synthetic yarns; EFS licensee,"Apparel; Fabric; Yarn; Manufacturing; Custom; Weaving; Knitting; A Broad Product Line Of Spun Yarns For The Industrial, Home Furnishing, And Apparel Industries",CottonWorks/EFS,https://cottonworks.com/sourcing/find-us-suppliers/,Contact for quote
Parkdale Mills,Gastonia,NC,https://www.parkdalemills.com/,https://www.parkdalemills.com/,https://www.parkdalemills.com/contact/,800-331-1843,sales@parkdalemills.com,mill,World's leading spun yarn manufacturer; EFS licensee,Yarn; Textile; Manufacturing; Cotton,CottonWorks/EFS,https://cottonworks.com/sourcing/find-us-suppliers/,Contact for quote
Buhler Quality Yarns Corp,Jefferson,GA,https://www.buhleryarns.com/,https://www.buhleryarns.com/,https://www.buhleryarns.com/,706-367-9834,,mill,Supima cotton combed ring spun; EFS licensee,Apparel; Garments; Fabric; Yarn; Textile; Custom; Dyeing; Spinning; Weaving; Knitting; Cotton,CottonWorks/EFS,https://cottonworks.com/sourcing/find-us-suppliers/,Contact for quote
Gildan,Sanford,NC,https://www.gildancorp.com/,https://www.gildancorp.com/,https://gildancorp.com/en/other/contact/,877-445-3265,,mill,Apparel; EFS licensee; USA Printwear sales,Apparel; Fabric; Textile; Activewear,CottonWorks/EFS,https://cottonworks.com/sourcing/find-us-suppliers/,Contact for quote
Cone Denim LLC,Greensboro,NC,https://conedenim.com/,https://conedenim.com/,https://conedenim.com/contact/,336-379-6165,,mill,Largest denim producer; EFS licensee,,CottonWorks/EFS,https://cottonworks.com/sourcing/find-us-suppliers/,$6; $50
Inman Mills,Inman,SC,https://www.inmanmills.com/,https://www.inmanmills.com/,https://www.inmanmills.com/contact/,864-472-2121,,mill,Cotton fabrics; EFS licensee,Woven; Fabric; Yarn; Textile; Manufacturing; Custom,CottonWorks/EFS,https://cottonworks.com/sourcing/find-us-suppliers/,Contact for quote
Milliken & Company,Spartanburg,SC,https://www.milliken.com/,https://www.milliken.com/,https://www.milliken.com/en-us/textiles/contact-us,864-503-2020,,mill,Textiles; EFS licensee,"Apparel; Woven; Fabric; Textile; Manufacturing; Custom; Athletic; Sustainable; Products And Production Work Better For People, For Our Communities, And Our Planet",CottonWorks/EFS,https://cottonworks.com/sourcing/find-us-suppliers/,Contact for quote
Hill Spinning,Thomasville,NC,https://hillspinning.com/,https://hillspinning.com/,https://hillspinning.com/,336-472-7908,,mill,Combed & carded ring-spun; organic cotton; AMS EAATM participant,,CottonWorks/EFS,https://cottonworks.com/sourcing/find-us-suppliers/,Contact for quote
Patrick Yarn Mills,Kings Mountain,NC,https://patrickyarns.com/,https://patrickyarns.com/,https://patrickyarns.com/,704-739-4119,,mill,"Cotton, synthetic, specialty yarns; closing Dec 2025 (Coats Group)",,CottonWorks/EFS,https://cottonworks.com/sourcing/find-us-suppliers/,Contact for quote
Cap Yarns,Clover,SC,https://www.capyarns.com/,https://www.capyarns.com/,https://www.capyarns.com/,803-222-8856,,mill,"Novelty heather, cationic cotton; AMS EAATM participant",Fabric; Yarn; Textile; Manufacturing; Custom; Sustainable,CottonWorks/EFS,https://cottonworks.com/sourcing/find-us-suppliers/,Contact for quote
Frontier Yarns,Sanford,NC,https://www.frontieryarns.com/,https://www.frontieryarns.com/,https://www.gildancorp.com/en/other/contact/,919-776-9940,,mill,Open-end and air-jet spun; Gildan subsidiary; AMS EAATM participant,Apparel; Yarn; Textile; Manufacturing; Activewear; Spinning,CottonWorks/EFS,https://cottonworks.com/sourcing/find-us-suppliers/,Contact for quote
Keer America,Indian Land,SC,https://keeramerica.com/,https://keeramerica.com/,https://keeramerica.com/,803-835-1110,info@keeramerica.com,mill,Open-end spun; AMS EAATM participant,Yarn; Custom; Spinning; Cotton,CottonWorks/EFS,https://cottonworks.com/sourcing/find-us-suppliers/,Contact for quote
SpunLab,Gastonia,NC,https://spunlab.com/,https://spunlab.com/,https://spunlab.com/,800-374-6754,,us_supplier,Parkdale division; CottonWorks spinner,,CottonWorks,https://cottonworks.com/sourcing/find-us-suppliers/,Contact for quote
Cotswold Industries / Central Textiles,Central,SC,https://ctextiles.com/,https://ctextiles.com/,https://ctextiles.com/,864-639-2491,inquiry@ctextiles.com,us_supplier,Spinner/weaver; CottonWorks; Cotswold NY 212-689-3432,Apparel; Fabric; Textile; Manufacturing; Custom; Finishing; Spinning; Weaving; Sustainable,CottonWorks,https://cottonworks.com/sourcing/find-us-suppliers/,Contact for quote
Greenwood Mills,Greenwood,SC,https://greenwoodmills.com/,https://greenwoodmills.com/,https://greenwoodmills.com/,864-229-2571,,us_supplier,"Armed Forces uniforms, industrial; CottonWorks",Apparel; Tees; Denim; Fabric; Yarn; Textile; Manufacturing; Custom; Finishing; Spinning; Weaving; Knitting,CottonWorks,https://cottonworks.com/sourcing/find-us-suppliers/,$60
1888 Mills,Griffin,GA,https://1888mills.com/,https://1888mills.com/,https://1888mills.com/,770-229-2361,b2bsitesupport@1888mills.com,us_supplier,"Terry/toweling, sheeting; CottonWorks weaver",Apparel; Textile; Manufacturing; Custom; Weaving; Sustainable; Where We Operate Sustainability Innovation Commercial Products Shop Our Products Use Tab To Navigate,CottonWorks,https://cottonworks.com/sourcing/find-us-suppliers/,Contact for quote
American Merchant,Bristol,VA,https://americanmerchantusa.com/,https://americanmerchantusa.com/,https://americanmerchantusa.com/contact/,,,us_supplier,"Home, Terry; CottonWorks weaver",,CottonWorks,https://cottonworks.com/sourcing/find-us-suppliers/,Contact for quote
DNA Technical Fabrics,Columbus,GA,https://dnatechfab.com/,https://dnatechfab.com/,https://www.dnatechfab.com/,706-565-3344,,us_supplier,Technical and industrial; CottonWorks weaver,Denim; Fabric; Textile,CottonWorks,https://cottonworks.com/sourcing/find-us-suppliers/,Contact for quote
Family Heir-Loom Weavers,Red Lion,PA,https://familyheirloomweavers.com/,https://familyheirloomweavers.com/,https://www.familyheirloomweavers.com/contact,717-246-2431,info@familyheirloomweavers.com,us_supplier,Home; CottonWorks weaver,Fabric; Textile; Wholesale; Towels,CottonWorks,https://cottonworks.com/sourcing/find-us-suppliers/,From $25.00; $35.00; $280.00; $30.00; $25.00
Fancy Terry,Inman,SC,https://fancyterry.com/,https://fancyterry.com/,https://fancyterry.com/contact/,864-472-7965,cindy@fancyterryinc.com,us_supplier,"Home, Jacquard, Terry; CottonWorks weaver",Woven; Custom; Towels; Terry; Weaving,CottonWorks,https://cottonworks.com/sourcing/find-us-suppliers/,Contact for quote
Hamrick Mills,Gaffney,SC,https://hamrickmills.com/,https://hamrickmills.com/,https://hamrickmills.com/contact/,800-297-6306,JHopkins@HamrickMills.com,us_supplier,"Apparel, home, industrial; CottonWorks weaver; sales 864-487-6283",Apparel; Woven; Fabric; Textile; Manufacturing; Custom; Home Textiles; Cotton,CottonWorks,https://cottonworks.com/sourcing/find-us-suppliers/,Contact for quote
HomeTex Incorporated,Cullman,AL,https://homtex.com/,https://homtex.com/,https://www.homtex.com/contact-us.php,256-734-3937,info@homtex.com,us_supplier,"Home, PPE; CottonWorks weaver",Cut And Sew; Manufacturing; Custom,CottonWorks,https://cottonworks.com/sourcing/find-us-suppliers/,Contact for quote
Huston Textiles Co.,Mather,CA,https://hustontextile.com/,https://hustontextile.com/,https://hustontextile.com/contact/,916-546-5001,support@hustontextile.com,us_supplier,"Apparel, Denim; CottonWorks weaver",Textile,CottonWorks,https://cottonworks.com/sourcing/find-us-suppliers/,Contact for quote
J.B. Martin Company,Leesville,SC,https://jbmartin.com/,https://jbmartin.com/,https://jbmartin.com/about/locations-distribution/,803-532-6277,,us_supplier,"Apparel, Home, Terry, Velvet; CottonWorks weaver",,CottonWorks,https://cottonworks.com/sourcing/find-us-suppliers/,Contact for quote
La France Industries,La France,SC,https://lafranceindustries.com/,https://lafrancefabrics.com/,https://lafrancefabrics.com/contact-us/,864-646-4115,,us_supplier,"Industrial, Automotive; CottonWorks weaver",Woven; Fabric,CottonWorks,https://cottonworks.com/sourcing/find-us-suppliers/,Contact for quote
Loom Craft Inc.,Belton,SC,https://loomcraftinc.com/,https://loomcraftinc.com/,https://www.loomcraftinc.com/contact/,864-839-3974,info@weavetec.com,us_supplier,"Home, Jacquard, Terry; CottonWorks weaver; Weavetec product line",Yarn; Textile; Wholesale; Custom,CottonWorks,https://cottonworks.com/sourcing/find-us-suppliers/,Wholesale
Mount Vernon Mills,Mauldin,SC,https://mvmills.com/,https://mvmills.com/,https://www.mvmills.com/contact-us/,864-688-7100,,us_supplier,"Apparel, Denim, Industrial; CottonWorks weaver",Apparel; Denim; Woven; Fabric; Textile; Manufacturing; Custom; Uniforms; Finishing,CottonWorks,https://cottonworks.com/sourcing/find-us-suppliers/,Contact for quote
Sattler Corp,Hudson,NC,https://usa.sattler.com/,https://usa.sattler.com/,https://usa.sattler.com/home,828-759-2105,,us_supplier,"Home (Outdoor), Marine, Jacquard; CottonWorks weaver; Outdura brand",Woven; Fabric; Textile; Custom; Finishing; Sustainable; Proven Long-Term Protection From The Elements,CottonWorks,https://cottonworks.com/sourcing/find-us-suppliers/,Contact for quote
SSM Industries,Spring City,TN,https://ssmind.com/,https://ssmind.com/,https://ssmind.com/,423-365-4048,,us_supplier,"Apparel, Uniforms; CottonWorks weaver",Apparel; Knits; Woven; Fabric; Custom; Uniforms; Workwear; Terry; Jersey; Fleece; Dyeing; Finishing,CottonWorks,https://cottonworks.com/sourcing/find-us-suppliers/,Contact for quote
Swavelle Mill Creek,New York,NY,https://swavelle.com/,https://swavelle.com/,https://www.swavelle.com/contact-us/,800-544-0478,customerservice@swavelle.com,us_supplier,"Home, Terry, Velvet; CottonWorks weaver",Woven; Fabric; Yarn; Textile; Custom; Sustainable,CottonWorks,https://cottonworks.com/sourcing/find-us-suppliers/,MOQ 1500
"Valdese Weavers, LLC",Valdese,NC,https://valdeseweavers.com/,https://valdeseweavers.com/,https://www.valdeseweavers.com/contact-us/,828-874-2181,info@valdeseweavers.com,us_supplier,"Home, Jacquard, Healthcare; CottonWorks weaver",Woven; Fabric; Yarn; Textile; Manufacturing; Custom; Dyeing; Finishing; Weaving; Sustainable,CottonWorks,https://cottonworks.com/sourcing/find-us-suppliers/,Contact for quote
"Weavetec, Inc.",Blacksburg,SC,https://weavetec.com/,https://weavetec.com/,https://www.weavetec.com/contact-us/,864-839-3974,info@weavetec.com,us_supplier,"Home, Jacquard, Specialty, Industrial; CottonWorks weaver",Woven; Fabric; Yarn; Textile; Wholesale; Custom; Finishing; Weaving; Cotton; Standard Straight Draws Up To 12 Body Harnesses And Special Draft Draws For Large Production Runs,CottonWorks,https://cottonworks.com/sourcing/find-us-suppliers/,Wholesale
Tuscarora Mills,Bedford,PA,https://tuscaroramills.com/,https://tuscaroramills.com/,https://tuscaroramills.com/contact-us/,814-285-8594,tuscamills@gmail.com,mill,"USDA organic cotton fabrics; basketweave, dimity, twill, selvedge denim; established 2020",Apparel; Denim; Fabric; Textile; Home Textiles; Cotton; Organic Cotton,web,https://tuscaroramills.com/,See website
Spiritex,Asheville,NC,https://wholesale.spiritex.net/,https://wholesale.spiritex.net/,https://wholesale.spiritex.net/,,sales@spiritex.net,cut_and_sew,"Organic cotton wholesale apparel; TX-grown, Carolinas spun/knit/finished; men's, women's, kids; printing; low MOQ",Apparel; Garments; Clothing; Tees; Hoodies; Fabric; Wholesale; Manufacturing; Jersey; Printing; Cotton; Organic Cotton,web,https://wholesale.spiritex.net/,Wholesale; see website
Koshtex,Los Angeles,CA,https://www.koshtex.com/,https://www.koshtex.com/,https://www.koshtex.com/,,koshtexinc@gmail.com,mill,Cotton jersey knit milled in USA; wholesale fabric,Denim; Fabric; Yarn; Custom; Activewear; Terry; Jersey; Fleece; Cotton; Organic Cotton,web,https://www.koshtex.com/,See website
Delta Apparel,Duluth,GA,https://www.deltaapparelinc.com/,https://www.deltaapparelinc.com/,https://www.deltaapparelinc.com/contact,864-232-5200,,apparel_manufacturer,"100% US cotton lines; Delta Ring-Spun, Delta Soft; USA facilities in NC; CottonWorks knitter",,CottonWorks,https://cottonworks.com/sourcing/find-us-suppliers/,Contact for quote
Beverly Knits,Gastonia,NC,https://www.beverlyknits.com/,https://www.beverlyknits.com/,https://www.beverlyknits.com/contact,704-861-1536,info@beverlyknits.com,apparel_manufacturer,"Largest US circular knitter; cotton & synthetic; 450K sq ft; apparel, bedding, industrial; CottonWorks",,CottonWorks,https://cottonworks.com/sourcing/find-us-suppliers/,Wholesale
Stitch K,Los Angeles,CA,https://www.stitchk.com/,https://www.stitchk.com/,https://www.stitchk.com/,323-325-7568,,cut_and_sew,"Knits, Apparel; Cotton Inc cut & sew",,Cotton Incorporated,https://www.cottoninc.com/quality-products/textile-sourcing/cut-and-sew/,Contact for quote
First Avenue Manufacturing,Thomson,GA,https://www.usa-linens.com/,https://www.usa-linens.com/,https://www.usa-linens.com/,678-392-1432,,cut_and_sew,"Home, Hospital; bed linens, custom sizes; Cotton Inc cut & sew",,Cotton Incorporated,https://www.cottoninc.com/quality-products/textile-sourcing/cut-and-sew/,Contact for quote
Topps Safety Apparel Inc,Rochester,IN,https://www.toppssafetyapparel.com/,https://www.toppssafetyapparel.com/,https://www.toppssafetyapparel.com/,574-223-4311,,cut_and_sew,"Wovens, Denim, Apparel, Uniforms; Cotton Inc cut & sew",,Cotton Incorporated,https://www.cottoninc.com/quality-products/textile-sourcing/cut-and-sew/,Contact for quote
JOMEL Seams Reasonable,Hillside,NJ,https://jomel.net/,https://jomel.net/,https://jomel.net/,973-282-0300,,cut_and_sew,"Apparel, Home, PPE, Uniforms, Military, Hospital; KY & NJ facilities; Cotton Inc cut & sew",,Cotton Incorporated,https://www.cottoninc.com/quality-products/textile-sourcing/cut-and-sew/,Contact for quote
Fire-Dex,Medina,OH,https://www.firedex.com/,https://www.firedex.com/,https://www.firedex.com/,330-723-0000,,cut_and_sew,"Wovens, Denim, CMT, Apparel, Uniforms; fire/rescue gear; Cotton Inc cut & sew",,Cotton Incorporated,https://www.cottoninc.com/quality-products/textile-sourcing/cut-and-sew/,Contact for quote
